S101F.CARD.,S101F.DECK.,S101F.BALLOT.,S101F.FORM.,S101F.Q1.,S101F.Q2.,S101F.Q3.,S101F.Q4.,S101F.Q5.,S101F.Q5..1,S101F.Q6B.,S101F.Q7.,S101F.Q8.,S101F.Q9A.,S101F.Q9B.,S101F.Q9C.,S101F.Q9D.,S101F.Q11.,S101F.Q12.,S101F.Q13.,S101F.Q14.,S101F.Q15.,S101F.Q16.,S101F.Q17.,S101F.Q18.,S101F.Q19.,S101F.Q20.,S101F.Q21A.,S101F.Q21B.,S101F.Q22.,S101F.Q23.,S101F.Q24.,S101F.Q25.,S101F.Q26A.,S101F.Q26B.,S101F.Q27.,S101F.Q28.,S101F.Q29.,S101F.Q30A.,S101F.Q30B.,S101F.Q30C.,S101F.Q30D.,S101F.Q31A.,S101F.Q31B.,S101F.Q31C.,S101F.Q31D.,S101F.Q31E.,S101F.Q31F.,S101F.Q31G.,S101F.Q31H.,S101F.Q31I.,S101F.Q31J.,S101F.Q31K.,S101F.Q31L.,S101F.Q31M.,S101F.Q31N.,S101F.Q31O.,S101F.Q31P.,S101F.Q31Q.,S101F.Q31R.,S101F.Q31S.,S101F.Q31T.,S101F.Q32.,S101F.Q33.,S101F.Q34.,S101F.Q35A.,S101F.Q35B.,S101F.Q36A.,S101F.Q36B.,S101F.Q36C.,S101F.Q36D.,S101F.CARD..1,S101F.DECK..1,S101F.BALLOT..1,S101F.FORM..1,S101F.Q36E.,S101F.Q36F.,S101F.Q36G.,S101F.Q36I.,S101F.Q36J.,S101F.Q37A.,S101F.Q37B.,S101F.Q38.,S101F.Q39.,S101F.Q40A.,S101F.Q40B.,S101F.Q42.,S101F.Q43A.,S101F.Q43B.,S101F.Q43C.,S101F.Q43D.,S101F.Q43E.,S101F.Q43F.,S101F.Q43G.,S101F.Q43H.,S101F.Q43I.,S101F.Q43J.,S101F.Q44.,S101F.Q47A.,S101F.Q47B.,S101F.Q47C.,S101F.Q47D.,S101F.Q47E.,S101F.Q49.,S101F.Q50A.,S101F.Q50B.,S101F.Q50C.,S101F.Q50D.,S101F.Q51A.,S101F.Q51B.,S101F.Q53A.,S101F.Q53B.,S101F.Q54A.,S101F.Q54B.,S101F.Q54C.,S101F.Q54D.,S101F.Q54E.,S101F.Q55A.,S101F.Q55B.,S101F.Q56.,S101F.Q57.,S101F.Q58.,S101F.Q58..1,S101F.Q58..2,S101F.Q58..3,S101F.Q58..4,S101F.Q58..5,S101F.Q58..6,S101F.Q58..7,S101F.Q58..8,S101F.Q58..9,S101F.Q58..10,S101F.Q58..11,S101F.Q58..12,S101F.Q59.,S101F.Q60A.,S101F.Q60B.,S101F.Q61A.,S101F.Q61A..1,S101F.Q61B.,S101F.V63.
1,101,1,5,0,2,4,0,10,1,34,0,12,2,3,1,3,0,1,1,0,2,3,1,1,0,1,3,2,2,2,2,2,2,0,2,5,1,2,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,1,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,1,5,1,3,3,3,13,0,241,34,44,4,4,4,4,4,4,4,4,1,1,5,5,5,1,4,1,2,1,2,1,0,0,2,0,0,2,5,7,5,0,0,0,0,1,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,2,5,1,5,1,4,8,2,10,5,5,2,1,1,1,1,3,2,1,1,1,2,1,2,8,1,1,2,3,2,2,2,0,4,1,1,1,2,1,1,4,1,4,0,4,4,4,1,1,4,4,2,1,4,4,4,1,4,4,4,2,3,4,3,3,3,1,1,3,2,101,2,5,1,3,1,1,3,1,1,1,4,1,1,1,2,2,4,4,2,4,4,4,4,4,1,2,1,2,1,1,4,1,2,1,2,1,3,1,1,0,50,49,1,0,2,4,3,3,2,2,2,2,2,2,1,2,2,2,2,1,2,2,3,2,4,3,3,1
1,101,3,5,3,5,2,3,4,4,3,4,6,1,1,3,2,1,3,1,2,2,2,2,3,1,8,3,2,3,3,0,1,2,1,3,2,3,1,2,2,2,4,4,1,4,4,4,1,4,4,4,4,1,4,1,1,4,4,4,4,4,4,1,1,3,3,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,3,5,1,1,1,1,21,1,112,13,34,4,4,4,4,4,4,4,4,3,1,1,2,1,1,3,1,1,2,2,1,3,1,0,0,0,0,0,5,0,0,0,0,0,2,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,0,6,2,3,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,4,5,1,5,3,4,12,3,3,4,11,2,1,3,1,1,3,2,2,1,2,3,1,1,8,1,3,2,2,2,2,1,1,0,1,1,1,0,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,3,2,1,1,1,1,2,101,4,5,1,1,2,1,1,1,0,1,4,2,2,1,4,3,3,3,4,4,4,4,4,4,1,1,1,1,1,1,4,1,1,1,1,1,2,2,2,10,83,5,1,1,1,4,3,3,2,2,2,2,1,2,1,2,2,2,2,2,2,1,3,3,3,4,3,1
1,101,5,5,1,4,3,2,10,4,4,5,5,0,0,2,1,1,3,2,2,1,2,3,1,1,8,1,2,2,1,3,2,1,1,3,1,1,1,1,1,1,4,1,4,4,1,1,1,1,4,4,4,4,4,1,4,4,4,4,4,4,2,2,4,3,2,1,1,1,3,2,101,5,5,1,1,3,1,1,1,4,1,1,2,2,1,2,2,3,4,3,4,2,4,4,4,1,1,1,1,1,5,3,1,3,1,1,1,1,2,2,20,75,3,2,0,2,4,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,4,3,2,1
1,101,6,5,2,1,1,4,11,3,2,4,4,1,2,3,1,1,3,2,2,2,2,3,1,1,8,1,2,2,2,3,2,2,1,0,2,3,3,2,3,3,4,4,4,4,4,4,1,4,4,4,4,1,4,4,4,4,1,4,4,1,4,1,4,3,3,3,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,6,5,1,1,2,1,31,0,0,1,34,2,4,4,4,4,4,4,2,1,2,1,5,5,5,4,1,2,1,3,1,0,1,2,0,0,9,0,1,0,0,0,0,0,1,0,3,3,2,2,2,2,2,2,2,1,2,2,2,2,1,0,6,6,4,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,7,5,2,1,1,3,12,3,3,4,4,2,1,3,1,3,3,1,1,1,2,4,1,1,8,1,3,2,3,2,2,1,2,0,1,1,2,2,2,2,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,3,1,2,2,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,7,5,1,1,0,1,11,0,141,13,24,4,4,4,4,4,4,4,2,1,3,1,3,4,1,3,3,3,1,2,1,0,1,2,0,0,0,2,9,0,0,8,0,0,1,0,3,3,2,2,2,2,1,1,2,2,2,2,2,2,2,2,5,4,4,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,8,5,3,5,1,2,5,4,4,4,4,0,3,3,1,3,3,2,2,1,2,3,1,1,8,1,2,2,5,2,2,1,0,3,1,1,1,2,1,1,4,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,4,4,4,4,4,3,3,2,2,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,8,5,1,1,0,1,1,0,142,24,22,4,4,4,4,4,4,4,4,1,1,1,5,5,1,4,1,2,1,2,1,1,1,0,0,5,9,0,0,5,0,0,0,0,1,0,3,3,2,2,2,2,1,2,1,2,2,2,2,2,2,1,6,6,4,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,9,5,2,4,1,4,8,2,4,4,4,2,1,3,1,0,0,1,2,1,2,3,0,0,9,1,2,2,5,1,1,1,1,0,2,2,1,2,2,2,4,4,4,4,4,0,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,3,4,3,2,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,9,5,1,1,1,1,1,0,110,1,12,4,4,4,4,3,4,4,4,1,1,1,2,3,1,4,1,3,1,2,1,0,2,2,0,5,2,0,6,0,1,5,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,3,5,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,10,5,3,4,1,2,5,4,7,4,3,1,3,2,2,3,3,2,1,2,2,1,1,2,8,1,2,4,3,2,2,1,1,2,1,1,2,2,1,2,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,3,1,3,3,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,10,5,1,1,1,1,11,0,120,1,41,1,3,2,4,4,4,4,1,1,1,1,1,1,1,4,2,4,1,4,1,1,0,2,0,0,0,0,9,9,0,0,0,0,2,0,1,3,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,3,3,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,11,5,2,5,3,4,2,3,4,4,9,1,3,2,2,1,3,2,2,1,2,3,1,1,1,1,3,4,3,2,2,1,1,3,2,3,2,2,2,2,4,4,4,1,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,1,4,3,2,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,11,5,1,1,2,1,31,3,113,34,44,4,4,4,4,4,4,4,1,1,2,2,5,5,5,3,1,3,1,2,1,1,2,2,0,0,1,0,7,5,1,5,0,0,2,2,3,3,2,2,2,2,2,2,1,1,2,2,2,2,2,4,2,2,3,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,12,5,2,1,1,2,5,4,5,4,4,2,1,3,1,1,3,2,2,2,3,2,1,1,9,2,2,2,3,2,2,1,1,4,3,3,2,2,3,3,2,2,4,4,1,1,1,4,4,4,1,1,2,1,1,1,1,4,4,4,3,2,4,3,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,12,5,1,1,1,1,31,3,241,11,22,4,4,2,4,3,4,4,4,1,1,2,5,1,1,2,1,2,1,2,2,1,2,2,0,0,2,0,6,0,1,0,1,0,2,3,2,3,2,2,1,2,1,2,2,2,2,2,2,2,2,2,3,3,3,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,13,5,2,1,2,2,5,4,2,4,4,1,2,3,1,3,4,2,2,1,2,4,1,1,8,2,2,4,5,2,2,2,2,3,2,5,2,2,2,2,4,2,4,4,2,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,1,4,3,3,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,13,5,1,1,1,1,12,1,141,13,22,3,4,4,4,4,4,4,4,1,5,1,5,1,5,4,1,3,1,3,1,1,1,1,0,0,3,0,5,0,0,0,2,0,2,3,3,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,6,5,4,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,14,5,1,3,2,3,4,4,7,5,5,2,1,3,1,1,3,2,1,1,2,1,1,1,8,1,1,4,3,2,3,2,0,3,1,1,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,3,3,3,1,1,3,3,2,101,14,5,1,1,1,1,1,1,1,1,4,1,1,2,1,1,4,4,1,4,1,4,4,2,1,1,1,5,3,1,3,1,3,1,3,2,1,0,1,0,0,90,0,10,2,3,3,3,2,2,1,2,2,1,2,2,2,2,2,2,2,2,5,1,4,3,1,1
1,101,15,5,2,1,2,3,4,4,3,4,4,1,2,2,2,1,3,2,1,1,2,3,1,1,8,1,3,0,3,2,2,2,2,2,2,1,2,2,2,2,4,4,4,4,4,1,1,4,4,4,4,2,1,4,2,4,1,4,4,1,4,1,3,3,3,3,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,15,5,1,1,2,1,11,1,121,13,12,4,4,4,4,4,4,4,4,1,1,1,2,2,1,2,2,2,2,2,1,1,1,2,0,2,0,6,8,8,0,2,0,2,2,3,2,3,2,2,2,2,2,2,2,2,2,1,2,2,1,2,6,3,0,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,16,5,1,5,1,3,3,4,3,5,5,2,1,3,1,1,3,2,1,1,2,3,1,1,8,1,3,2,2,1,2,2,2,0,2,2,2,2,0,0,4,1,4,1,4,4,1,1,0,1,1,1,4,4,4,4,4,4,4,4,4,3,1,3,2,2,1,3,3,2,101,16,5,1,1,2,1,0,1,1,1,4,1,1,2,4,4,4,4,4,4,3,4,4,4,1,5,1,5,5,5,0,1,2,1,2,1,0,0,0,5,50,35,10,0,1,3,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,5,2,3,4,3,1
1,101,17,5,2,5,1,4,8,2,4,4,7,2,1,1,2,1,3,2,2,2,2,3,1,1,8,1,3,2,3,2,2,2,2,4,2,4,1,2,1,1,4,4,1,1,1,4,1,4,4,4,1,1,1,1,1,4,4,1,4,1,4,3,3,3,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,17,5,1,1,2,1,11,1,111,22,22,2,2,2,4,4,4,4,4,1,1,1,2,2,5,3,1,2,1,2,1,1,1,2,0,0,2,5,7,5,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,5,4,3,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,18,5,1,4,1,4,8,2,7,4,9,2,2,3,1,1,3,1,1,1,2,4,1,2,8,1,3,2,3,2,1,2,2,2,2,5,2,2,1,1,4,4,1,1,4,1,4,1,1,1,1,2,1,1,4,4,1,1,4,1,3,2,1,3,3,1,1,1,3,2,101,18,5,1,1,1,1,1,1,3,1,4,1,1,2,3,4,4,4,4,4,4,4,4,4,1,5,1,3,5,2,4,1,2,1,2,1,1,1,2,0,5,70,10,15,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,5,2,3,0,3,1
1,101,19,5,2,4,3,4,1,3,4,4,4,2,2,0,1,1,0,2,2,1,2,3,1,3,8,1,3,3,2,2,1,1,1,3,2,0,1,2,1,1,4,4,4,4,4,4,1,4,4,4,4,1,4,4,4,4,4,1,4,4,4,1,3,3,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,19,5,1,1,2,1,22,1,111,11,34,3,4,4,4,4,4,4,4,2,5,1,5,2,5,3,2,2,2,2,1,1,1,2,0,0,3,0,6,0,0,5,0,5,1,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,5,4,3,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,20,5,2,4,3,4,1,3,30,4,9,1,1,2,3,1,3,2,1,2,2,2,1,2,9,3,2,2,3,1,2,2,2,1,2,3,2,2,2,2,1,4,1,1,1,4,1,4,1,1,1,2,1,1,1,4,1,1,4,1,4,1,4,3,2,3,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,20,5,1,1,2,1,2,1,112,23,14,4,4,4,4,3,4,4,4,1,1,1,2,3,1,3,1,2,1,2,1,2,1,2,0,2,1,0,8,5,0,3,0,0,2,1,3,3,2,2,2,2,2,2,1,2,2,2,2,2,1,4,3,2,3,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,21,5,3,5,2,2,5,4,3,4,9,1,2,1,1,1,3,1,2,1,2,3,1,1,9,1,2,2,2,2,1,1,1,3,2,2,1,2,1,1,4,1,4,1,4,4,1,4,4,4,4,4,4,4,4,4,4,1,4,4,3,2,3,3,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,21,5,1,1,2,1,31,1,122,21,22,3,2,2,3,4,4,4,4,1,1,1,1,2,1,2,1,2,1,2,1,1,2,2,0,5,2,0,7,0,0,5,0,0,1,1,1,3,2,1,2,2,2,2,1,2,2,2,2,2,2,2,5,5,4,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,22,5,2,0,1,3,4,4,7,4,9,1,2,3,2,1,3,2,2,1,2,0,1,2,8,1,2,4,3,1,2,2,1,3,2,2,1,2,2,1,4,1,4,1,1,1,1,4,4,1,4,1,1,1,4,4,4,1,4,4,4,3,1,3,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,22,5,1,1,1,1,32,3,143,13,22,4,4,4,4,2,4,4,4,1,1,1,5,3,1,4,1,2,1,2,1,1,1,2,0,0,0,5,9,0,0,5,0,0,2,1,3,3,2,2,2,2,2,1,2,2,2,2,2,2,1,2,3,4,3,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,23,5,2,1,2,3,10,2,4,4,4,1,2,1,1,3,3,1,0,1,2,2,2,1,8,0,3,2,2,1,1,2,2,3,2,0,2,2,1,2,4,1,4,4,0,4,0,1,4,4,0,1,4,4,1,4,4,1,4,4,3,1,4,3,3,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,23,5,1,1,2,1,31,3,143,2,32,4,4,4,4,4,4,4,0,3,5,1,5,5,0,3,1,2,1,2,1,0,1,2,1,0,4,0,5,0,0,0,0,0,2,1,2,3,2,2,2,1,2,2,2,2,2,2,2,2,1,2,3,1,4,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,24,5,1,5,3,4,10,1,3,4,14,2,1,1,3,1,3,1,2,1,2,0,2,1,8,1,1,4,5,1,2,2,0,4,1,1,1,2,2,2,0,0,4,4,4,4,4,4,4,4,4,1,4,4,4,4,2,1,4,4,4,2,4,3,3,1,1,1,1,2,101,24,5,1,1,2,1,1,1,1,1,2,0,0,1,2,1,4,4,4,4,4,4,4,4,1,1,1,5,5,5,3,1,1,1,1,1,2,1,2,0,25,50,0,25,1,1,3,3,2,2,2,2,1,2,1,2,2,2,2,2,2,4,5,5,5,2,4,1
1,101,25,5,2,6,3,4,12,3,30,4,3,1,3,3,2,1,3,2,2,2,3,2,1,3,8,1,2,4,3,3,2,1,2,3,4,0,1,1,2,2,4,1,4,1,3,1,1,4,1,4,1,4,4,2,1,1,4,1,4,4,2,1,2,3,3,2,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,25,5,1,1,1,1,13,4,121,31,23,4,4,2,4,2,4,4,4,1,2,2,1,4,2,4,2,4,1,3,2,1,2,2,0,0,1,0,5,0,4,0,0,0,4,4,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,4,3,3,3,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,26,5,3,5,3,2,7,4,999,4,9,1,1,2,2,1,3,1,2,1,2,2,1,3,0,0,3,2,3,1,2,1,0,0,2,5,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,1,4,4,2,1,1,3,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,26,5,1,1,1,1,1,4,43,31,44,4,4,4,4,4,4,4,4,1,2,1,5,2,1,3,1,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,4,3,3,2,2,2,2,1,2,2,2,2,2,1,2,2,2,6,6,5,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,27,5,2,4,2,4,2,3,3,4,4,1,2,3,1,3,3,2,2,1,2,3,1,1,8,1,2,2,2,1,1,2,2,3,2,3,2,2,2,3,4,1,4,1,4,4,4,4,4,1,4,1,4,4,4,4,4,1,4,1,4,1,3,3,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,27,5,1,1,2,1,22,0,140,1,42,3,4,4,4,4,4,4,4,0,1,1,5,2,5,3,2,2,2,2,1,1,1,2,1,0,6,0,2,6,0,2,0,2,2,4,3,3,2,2,2,2,2,2,1,2,2,2,1,2,2,2,5,4,4,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,28,5,2,5,2,2,7,4,3,4,4,1,2,2,2,1,3,2,2,1,2,3,1,1,8,1,3,2,2,2,2,2,2,0,3,2,1,2,1,2,4,1,1,4,4,3,1,4,4,1,4,4,4,4,4,4,4,1,4,4,2,1,1,3,3,1,1,3,3,2,101,28,5,2,1,2,1,3,1,0,1,4,0,0,1,4,2,4,4,4,4,4,4,4,4,3,2,1,4,5,1,4,2,2,2,2,1,0,1,1,2,30,60,8,0,2,0,3,0,2,2,2,2,2,1,2,2,1,2,2,2,2,2,3,2,3,5,4,1
