CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.5..1,Q.6B.,Q.7.,Q.8.,Q.9A.,Q.9B.,Q.9C.,Q.9D.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21A.,Q.21B.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26A.,Q.26B.,Q.27.,Q.28.,Q.29.,Q.30A.,Q.30B.,Q.30C.,Q.30D.,Q.31A.,Q.31B.,Q.31C.,Q.31D.,Q.31E.,Q.31F.,Q.31G.,Q.31H.,Q.31I.,Q.31J.,Q.31K.,Q.31L.,Q.31M.,Q.31N.,Q.31O.,Q.31P.,Q.31Q.,Q.31R.,Q.31S.,Q.31T.,Q.32.,Q.33.,Q.34.,Q.35A.,Q.35B.,Q.36A.,Q.36B.,Q.36C.,CARD..1,DECK..1,BALLOT..1,FORM..1,Q.36D.,Q.36E.,Q.36F.,Q.36G.,Q.36I.,Q.36J.,Q.37A.,Q.37B.,Q.38.,Q.39.,Q.40A.,Q.40B.,Q.42.,Q.43A.,Q.43B.,Q.43C.,Q.43D.,Q.43E.,Q.43F.,Q.43G.,Q.43H.,Q.43I.,Q.43J.,Q.44.,Q.47A.,Q.47B.,Q.47C.,Q.47D.,Q.47E.,Q.49.,Q.50A.,Q.50B.,Q.50C.,Q.50D.,Q.51A.,Q.51B.,Q.53A.,Q.53B.,Q.54A.,Q.54B.,Q.54C.,Q.54D.,Q.54E.,Q.55A.,Q.55B.,Q.56.,Q.57.,Q.58.,Q.58..1,Q.58..2,Q.58..3,Q.58..4,Q.58..5,Q.58..6,Q.58..7,Q.58..8,Q.58..9,Q.58..10,Q.58..11,Q.58..12,Q.59.,Q.60A.,Q.60B.,Q.61A.,Q.61A..1,Q.61B.,V.63.
1,101,1,3,1,5,3,2,9,4,14,4,4,0,3,3,2,1,3,1,2,1,2,1,1,1,9,2,3,2,2,2,1,1,2,3,2,2,1,1,1,1,4,4,4,4,4,4,1,4,4,4,1,1,4,1,1,4,4,4,4,4,2,1,3,3,3,1,1,1,2,101,1,3,1,1,1,1,1,2,1,1,1,1,2,2,5,2,4,4,3,4,4,4,4,4,4,1,2,2,2,2,2,0,2,2,2,2,1,1,1,2,55,20,20,5,0,2,3,3,3,2,2,2,2,1,2,1,2,2,2,2,2,2,2,3,2,4,3,1,3
1,101,2,3,2,6,3,4,6,4,5,4,4,1,2,1,2,1,3,1,2,1,2,3,1,2,9,2,2,2,3,2,1,1,1,3,1,1,2,2,2,3,1,1,4,1,2,1,4,4,4,4,2,3,1,4,4,4,4,1,1,4,3,1,4,3,3,1,1,3,2,101,2,3,3,1,1,3,1,1,1,3,1,4,1,1,1,3,2,4,4,4,4,3,4,4,4,3,5,1,5,5,3,2,1,2,1,2,0,0,1,2,20,20,20,20,20,2,3,3,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,6,6,3,4,3,2
1,101,3,3,2,2,3,2,12,3,27,4,11,1,1,1,1,1,3,2,2,1,2,2,1,1,0,1,2,4,3,2,2,1,1,1,1,1,1,2,1,1,1,4,4,2,4,4,1,4,4,4,1,2,2,4,4,4,4,4,4,4,3,3,3,3,3,1,1,1,2,101,3,3,1,1,1,1,1,3,1,1,1,1,3,1,1,1,2,4,4,2,4,2,4,4,4,1,1,1,1,1,1,4,1,2,1,2,1,1,1,2,0,25,75,0,0,2,3,3,3,2,2,2,2,1,2,1,2,2,2,2,2,2,1,6,6,4,5,4,1
1,101,4,3,3,5,2,2,8,4,6,4,4,1,3,1,1,1,3,1,1,1,2,3,1,1,8,1,2,3,2,2,2,1,1,1,2,2,1,2,1,1,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,3,3,4,3,2,1,1,1,2,101,4,3,1,1,1,2,1,3,1,1,1,1,1,2,5,2,2,4,2,4,4,4,4,4,4,1,5,1,5,5,2,3,2,3,1,2,1,3,1,2,5,75,10,5,5,2,1,2,3,2,1,2,1,2,2,2,2,2,2,2,2,2,2,6,2,5,3,5,1
1,101,5,3,1,5,1,2,7,1,27,4,4,1,2,1,1,1,3,2,1,1,2,2,1,2,8,1,2,2,2,1,1,1,2,3,2,5,1,2,1,1,4,1,1,2,4,1,1,4,1,1,1,2,1,1,1,4,4,1,1,1,4,1,1,3,3,0,1,1,2,101,5,3,1,1,1,2,1,0,1,1,1,1,2,2,2,2,2,4,4,4,4,4,4,4,2,3,3,1,4,3,1,2,2,3,2,3,1,1,1,1,5,80,5,10,0,2,3,3,3,2,2,2,2,2,1,2,2,2,1,2,2,2,2,5,3,3,4,3,1
1,101,6,3,2,2,1,2,12,3,28,4,3,1,2,1,2,1,3,1,2,1,2,2,1,3,8,2,2,4,8,2,1,2,2,3,2,4,1,1,1,1,4,1,4,2,4,4,4,1,4,4,4,1,2,4,4,4,1,1,4,1,3,1,1,3,3,1,1,2,2,101,6,3,3,1,1,1,1,1,1,1,1,2,1,2,2,2,2,4,4,4,4,4,4,4,2,1,1,1,2,4,1,3,2,2,2,3,1,2,1,2,5,10,75,10,0,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,6,2,5,3,2,1
1,101,7,3,2,4,2,3,1,2,27,4,9,1,1,1,1,2,3,1,1,1,2,2,1,3,9,1,2,2,3,2,1,1,1,1,2,2,2,2,1,1,1,4,4,3,4,3,1,4,4,4,1,2,3,4,4,1,1,3,3,4,4,2,3,2,2,1,1,0,2,101,7,3,1,1,1,2,1,0,1,1,2,1,3,1,1,2,3,4,4,3,4,4,4,4,4,1,5,1,5,1,1,3,1,4,1,2,1,0,0,2,0,20,70,0,10,1,1,3,3,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,5,0,3,1
1,101,8,3,2,3,3,2,9,4,19,4,3,1,2,1,1,1,3,1,2,1,2,1,1,1,9,0,0,2,3,1,2,2,2,1,1,1,3,2,1,3,1,4,1,1,4,1,4,1,1,1,4,2,1,1,1,1,1,1,1,1,1,2,3,3,2,1,1,1,2,101,8,3,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,4,4,3,4,3,4,4,2,1,1,1,4,5,1,3,1,3,1,2,1,2,2,2,10,10,80,0,0,2,1,1,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,5,3,3,5,1,3
1,101,9,3,3,5,1,2,8,4,1,4,4,1,1,1,1,3,0,1,1,1,2,3,2,1,8,0,0,0,2,1,1,1,2,0,1,5,1,2,1,1,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,1,1,3,2,1,1,3,2,101,9,3,3,1,1,2,1,3,1,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,4,1,2,1,2,1,1,1,1,5,30,65,0,0,1,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,6,3,4,3,4,1
1,101,10,3,2,2,2,2,9,4,15,4,10,1,1,1,1,1,3,1,2,1,2,3,1,3,1,0,0,4,3,2,1,1,1,3,1,1,1,1,2,2,4,1,4,1,4,2,4,4,4,4,4,1,4,4,4,4,4,4,4,4,3,1,2,3,3,1,1,2,2,101,10,3,2,1,1,2,1,3,1,1,2,2,1,1,3,2,4,3,3,3,4,4,4,4,4,1,2,1,2,2,1,4,1,2,1,2,2,2,2,2,20,20,60,0,0,2,1,1,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,5,3,1,3
1,101,11,3,2,4,2,2,9,4,4,4,6,1,1,1,2,1,3,1,1,2,1,3,2,1,8,1,1,2,4,2,2,1,2,2,1,1,2,2,2,4,1,1,2,2,4,4,1,4,4,1,4,2,4,4,4,4,1,4,4,4,2,1,4,3,2,1,1,1,2,101,11,3,1,1,1,1,1,0,1,1,1,4,3,3,3,1,2,4,4,4,4,4,4,4,4,3,1,1,4,5,5,1,1,2,1,3,1,1,2,2,0,10,10,60,20,2,1,3,3,2,2,1,2,2,2,2,2,2,1,2,2,2,2,3,3,5,3,1,3
1,101,12,3,2,2,3,2,10,3,22,4,4,1,2,1,1,1,3,2,1,1,2,2,1,1,0,1,1,2,10,1,1,2,2,6,2,3,2,2,1,2,1,1,2,2,1,1,2,1,1,1,1,3,3,1,1,4,3,1,1,4,3,1,4,3,3,1,1,3,2,101,12,3,3,1,1,2,1,3,1,1,2,2,2,1,1,1,4,4,3,2,2,2,4,4,4,3,1,1,2,1,1,2,2,2,2,2,1,1,1,2,20,50,20,10,0,2,1,3,3,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,4,0,1,1
1,101,13,3,2,5,3,2,9,4,999,4,10,1,1,1,2,1,3,1,1,1,1,1,0,1,9,2,3,3,10,1,1,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,1,3,3,3,1,1,1,2,101,13,3,1,1,1,3,1,2,0,0,0,1,3,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,3,1,1,0,2,2,2,0,0,0,0,0,1,1,1,3,2,2,2,2,1,2,2,2,2,2,2,2,2,1,3,3,5,0,1,3
1,101,14,3,2,4,3,2,8,4,2,4,4,1,2,1,1,1,3,1,1,1,2,3,1,1,8,1,2,2,2,1,1,1,2,3,1,1,1,2,2,1,1,4,4,4,4,4,1,1,4,4,4,1,4,4,4,4,4,4,4,4,4,1,4,3,3,1,1,3,2,101,14,3,3,1,1,1,1,3,1,1,1,1,1,1,1,4,3,4,4,4,4,4,4,4,4,1,1,1,3,1,1,2,1,2,1,2,1,1,1,2,0,0,97,0,0,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,5,3,4,3,1,1
1,101,15,3,3,5,2,2,9,4,5,4,11,1,1,1,3,1,0,1,1,1,2,1,1,2,8,0,0,4,3,1,3,1,2,3,2,3,2,0,4,2,2,4,4,4,1,2,1,1,4,4,1,4,4,4,4,4,1,4,4,4,3,1,1,3,3,1,1,3,2,101,15,3,1,1,1,1,0,0,2,1,1,1,3,3,2,2,3,0,0,0,0,0,0,0,0,1,2,2,3,1,1,0,1,2,1,2,1,1,1,2,1,20,50,5,24,1,0,3,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,1,4,3,4,3
1,101,16,3,2,2,1,2,9,4,20,4,4,1,2,1,1,1,3,1,2,1,2,3,1,1,1,1,3,2,2,1,1,2,2,3,1,1,2,2,2,1,4,4,4,1,4,1,4,4,4,1,4,4,4,4,4,4,1,4,4,4,3,3,2,3,2,1,1,3,2,101,16,3,1,1,1,0,1,3,1,1,1,1,3,3,1,2,2,4,4,4,4,3,4,4,4,3,1,1,3,1,1,2,1,1,1,1,1,1,1,2,2,35,55,5,3,2,1,3,3,2,2,2,2,1,2,2,2,2,2,1,2,2,2,5,2,4,3,4,3
1,101,17,3,2,5,1,2,9,4,18,4,9,1,1,1,1,1,3,2,2,1,2,3,1,1,9,1,3,2,3,2,3,2,2,3,1,1,2,2,1,2,4,4,4,4,1,4,4,4,4,1,1,4,4,4,1,4,4,1,4,4,2,2,3,3,2,1,1,2,2,101,17,3,1,1,1,1,1,1,1,1,1,1,3,2,1,1,2,4,4,4,4,4,4,4,4,1,4,2,5,4,5,2,2,3,2,2,1,1,1,2,10,15,70,1,4,2,1,3,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,3,2,3,4,4,3
1,101,18,3,3,4,1,2,8,4,1,4,9,1,2,1,1,1,4,2,2,2,3,2,1,1,8,1,3,2,3,3,1,2,2,6,2,5,1,2,1,2,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,2,1,1,3,2,1,1,1,2,101,18,3,1,1,1,3,1,3,1,3,1,2,0,1,1,2,4,4,4,3,4,4,4,4,4,3,2,1,2,1,2,3,1,1,1,1,1,1,2,2,0,0,97,0,0,2,1,3,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,6,3,3,5,3,2
1,101,19,3,3,5,2,2,7,4,1,4,4,1,2,1,1,1,3,2,1,1,2,2,1,1,8,1,2,2,3,2,2,2,2,2,2,2,1,1,1,1,4,1,4,4,4,1,4,1,2,4,4,4,4,4,4,4,4,1,4,4,2,1,4,2,2,1,1,3,2,101,19,3,2,1,1,2,1,1,1,1,1,1,3,2,1,3,2,4,2,2,4,4,4,4,4,1,2,1,5,3,1,3,1,2,1,1,1,2,2,2,0,50,30,5,15,2,1,2,3,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,3,4,1,1
1,101,20,3,2,2,2,2,10,3,26,4,14,1,2,1,1,3,3,2,1,0,2,3,2,1,9,1,2,2,3,2,2,2,1,4,2,5,3,2,1,1,4,1,4,1,4,4,1,1,4,4,1,1,2,4,4,1,4,4,1,1,4,3,1,3,3,1,1,3,2,101,20,3,3,1,1,1,1,3,1,1,1,2,3,1,2,4,2,4,3,4,4,0,4,4,2,3,1,2,2,3,1,3,1,2,1,2,1,2,2,2,10,15,70,5,0,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,5,2,5,3,2,1
1,101,21,3,2,2,1,2,4,2,5,4,10,1,2,1,1,3,2,2,2,2,2,4,1,2,8,2,3,2,3,3,1,2,1,3,2,3,1,2,2,2,4,2,1,3,4,4,2,4,4,4,4,2,3,1,4,4,2,1,4,4,3,1,2,3,3,1,1,3,2,101,21,3,3,1,1,1,1,1,1,1,1,1,1,1,2,4,2,4,4,2,4,4,4,4,4,1,5,5,5,5,3,4,3,3,3,3,1,1,0,0,0,0,70,10,20,3,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,3,6,6,3,4,5,2
1,101,22,3,2,5,1,2,12,2,6,4,4,1,2,1,1,3,4,1,1,1,2,3,1,1,8,1,3,2,2,1,1,2,2,6,1,1,2,2,1,1,1,1,4,1,4,4,4,4,4,4,1,4,4,4,4,4,4,2,4,4,4,0,0,3,3,1,1,1,2,101,22,3,1,1,1,1,1,1,1,1,1,1,1,1,5,4,3,4,4,3,4,4,4,4,4,1,5,1,5,5,1,2,1,2,1,2,1,1,1,2,0,50,49,1,0,1,1,3,3,2,2,2,2,2,2,2,2,1,2,1,2,2,1,5,3,4,3,4,2
1,101,23,3,2,4,3,2,9,4,23,4,9,1,3,3,1,1,3,1,2,1,2,3,2,1,1,0,0,2,3,2,2,2,2,0,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,2,2,1,1,1,2,101,23,3,1,1,1,1,1,0,1,1,1,2,1,1,1,2,3,3,3,3,3,3,4,4,2,3,1,1,1,2,1,3,1,2,1,1,1,1,2,2,1,5,90,0,4,1,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,3,5,4,5,3
1,101,24,3,2,2,2,2,9,4,20,4,4,1,1,3,1,1,3,2,2,1,2,3,1,1,8,1,2,1,3,3,2,1,2,3,2,2,1,1,1,2,4,1,1,1,4,4,4,4,1,4,4,1,4,4,1,4,4,2,4,4,4,1,3,2,2,1,1,1,2,101,24,3,1,1,1,1,1,3,1,3,1,1,1,2,2,1,2,4,4,4,4,2,4,4,4,1,1,1,5,2,1,3,1,1,1,1,1,3,2,2,0,5,93,2,0,1,3,2,3,2,2,2,2,2,2,1,2,2,2,2,1,2,1,3,2,5,4,2,3
1,101,25,3,1,4,2,3,7,2,26,4,4,1,2,3,1,0,3,1,1,1,2,3,1,1,9,1,2,4,2,2,1,2,1,3,2,5,1,2,1,1,1,2,4,2,4,2,1,4,4,4,4,4,3,1,4,4,0,1,4,1,4,3,2,3,3,1,1,3,2,101,25,3,3,1,1,1,1,3,1,1,2,1,2,1,1,2,4,4,4,2,4,4,4,4,4,1,1,1,5,2,5,3,2,3,2,3,1,3,2,2,1,54,25,15,5,2,1,3,3,2,2,2,2,2,2,1,2,2,1,2,2,2,4,6,3,5,4,1,2
1,101,26,3,2,5,3,2,9,4,3,4,2,1,2,3,1,1,3,2,2,1,2,3,1,1,8,0,0,2,3,2,1,2,2,6,1,1,1,2,1,1,4,4,4,1,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,3,2,1,1,3,2,101,26,3,3,1,1,1,1,3,1,1,1,1,1,1,1,3,3,4,4,3,4,4,4,4,4,1,2,1,5,3,1,2,3,3,1,2,1,3,2,2,15,20,30,20,15,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,5,3,5,3,4,3
1,101,27,3,2,5,3,2,9,4,19,4,9,1,2,3,1,2,3,1,2,1,1,3,1,1,8,0,0,2,2,1,2,2,2,3,1,1,2,1,2,2,1,1,1,4,4,1,1,4,4,1,2,4,4,1,4,1,4,1,4,4,3,1,4,3,3,1,1,1,2,101,27,3,1,1,1,2,1,2,1,1,1,2,1,2,1,3,3,4,4,4,4,4,4,4,4,3,5,5,1,4,5,3,1,2,1,2,1,1,2,2,30,40,20,10,0,1,1,3,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,6,6,3,5,4,3
1,101,28,3,2,5,3,2,9,4,5,4,4,1,1,3,2,1,2,2,1,1,2,2,1,2,8,0,0,3,3,2,2,1,1,3,2,2,2,2,2,2,4,4,4,2,4,4,1,4,4,4,1,1,4,1,4,4,1,4,4,4,4,2,1,3,3,1,1,3,2,101,28,3,3,1,1,2,1,1,1,1,1,1,2,2,3,4,4,3,4,4,4,4,4,4,4,1,1,1,5,5,5,2,1,2,1,2,1,3,1,2,0,0,85,13,2,2,1,2,3,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,1,4,5,4,3
1,101,29,3,2,5,3,3,6,3,21,4,9,1,2,3,2,1,2,1,1,1,2,2,1,1,8,2,2,2,3,2,1,2,2,2,2,2,1,2,1,1,1,4,4,2,1,2,2,1,1,1,2,2,3,1,4,4,4,2,2,1,2,1,4,3,3,0,1,2,2,101,29,3,2,1,1,0,1,3,1,1,0,2,3,3,1,2,2,4,4,4,4,4,4,4,4,1,2,1,5,1,3,2,2,2,2,2,2,2,1,1,1,38,60,1,0,2,1,2,3,2,2,2,2,2,2,1,2,2,2,2,2,1,2,6,2,5,0,2,2
1,101,30,3,3,5,1,2,10,3,12,4,4,1,1,3,1,1,2,1,1,1,2,2,1,1,2,1,1,2,2,1,1,2,2,6,1,1,2,2,2,3,1,1,1,3,1,2,1,1,1,1,1,3,3,4,2,1,3,2,2,1,3,1,4,3,2,1,1,2,2,101,30,3,2,1,1,1,1,1,1,1,2,2,1,0,1,1,3,4,4,4,4,3,4,4,4,3,5,1,3,2,2,3,2,1,2,1,2,2,1,2,5,20,60,5,10,2,1,3,3,2,2,2,2,1,2,1,2,2,2,2,2,2,0,5,4,4,3,4,1
1,101,31,3,3,4,1,2,9,4,3,4,4,1,2,3,1,1,3,1,2,1,2,3,1,1,8,1,3,2,3,1,1,1,1,2,1,1,2,2,2,2,4,4,4,1,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,2,3,3,2,1,1,1,2,101,31,3,1,1,1,1,1,1,1,1,1,4,1,1,3,4,2,4,4,4,4,2,4,4,4,1,1,1,1,2,1,4,1,2,1,2,1,1,2,2,0,75,25,0,0,1,1,3,3,2,2,2,2,2,2,1,2,2,2,2,2,2,1,5,5,3,4,2,3
1,101,32,3,2,2,3,2,9,4,5,4,4,1,2,3,1,1,3,2,1,1,2,3,1,1,8,1,3,1,3,2,3,1,2,3,2,3,2,2,2,2,4,2,4,4,4,4,1,4,4,1,4,4,4,4,4,4,4,4,4,4,4,2,3,3,2,2,1,1,2,101,32,3,1,1,1,3,1,2,1,2,1,1,1,1,1,2,1,2,1,4,4,2,4,4,4,1,1,1,2,2,1,3,1,3,1,2,1,2,1,2,0,5,95,0,0,1,2,2,3,2,2,1,2,2,2,1,2,2,2,2,2,2,1,3,1,5,4,3,3
1,101,33,3,1,5,3,3,8,1,6,4,11,1,1,3,2,1,3,1,2,1,2,3,1,2,8,1,0,2,2,1,1,1,1,0,1,1,1,2,1,1,4,2,3,2,3,4,2,1,1,4,0,0,0,0,0,0,0,0,0,0,4,3,3,2,2,1,1,3,2,101,33,3,3,1,1,3,1,2,1,1,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,3,2,3,2,3,1,2,1,2,0,15,85,0,0,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,3,4,1,2
1,101,34,3,2,2,2,2,6,4,4,4,4,1,2,3,1,1,3,2,1,1,2,3,1,1,8,1,3,2,2,2,2,2,2,2,2,2,2,2,2,1,4,4,4,2,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,1,1,3,3,1,1,1,2,101,34,3,1,1,1,1,1,3,1,3,1,4,2,1,1,2,2,4,4,4,4,2,4,4,2,1,1,1,5,1,5,2,1,3,1,2,1,3,1,2,5,45,40,10,0,2,1,2,3,2,2,2,2,2,1,2,2,2,2,2,1,2,2,6,2,4,3,5,3
1,101,35,3,2,5,1,2,9,4,18,4,4,1,2,3,1,1,3,1,1,1,2,2,1,1,8,0,0,2,3,1,1,1,1,3,1,1,2,2,2,2,4,4,4,4,4,1,1,4,4,4,4,1,4,4,4,4,4,4,4,4,3,1,4,3,2,1,1,1,2,101,35,3,1,1,1,1,1,3,1,1,1,4,1,1,2,4,4,4,3,4,4,4,4,4,4,1,5,1,5,5,5,0,1,2,1,2,1,1,2,2,0,5,90,5,0,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,6,6,3,4,1,3
1,101,36,3,3,5,1,2,9,4,7,4,10,1,1,3,2,1,2,1,1,1,2,3,1,2,1,2,1,3,2,1,1,1,0,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,1,4,2,1,1,1,1,2,101,36,3,1,1,1,1,1,1,1,1,2,1,3,1,1,4,2,4,2,4,4,4,4,4,4,1,4,1,1,1,1,3,1,1,1,1,1,3,2,2,99,0,0,0,0,2,1,3,3,2,2,2,2,1,2,1,2,2,2,2,2,2,1,1,6,5,2,4,3
1,101,37,3,2,2,1,2,9,4,2,4,4,1,2,3,2,3,3,2,2,1,2,2,1,1,8,2,3,1,3,1,1,2,2,1,2,5,2,2,2,3,2,2,4,3,1,1,2,4,4,1,2,3,1,1,2,2,2,1,2,1,3,1,2,3,3,1,1,3,2,101,37,3,1,1,1,1,1,3,1,1,1,4,1,1,4,4,3,2,3,4,4,3,4,4,2,1,5,1,5,1,1,2,2,2,1,2,1,3,1,2,0,25,70,0,5,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,5,2,0,0,1,3
1,101,38,3,3,5,2,2,9,4,4,4,11,1,1,3,1,1,3,3,2,1,3,2,1,2,8,2,2,1,4,2,2,1,1,2,2,2,1,1,1,3,1,4,4,1,4,4,1,4,1,4,4,2,1,4,4,4,4,4,4,4,3,1,3,2,2,1,1,3,2,101,38,3,3,1,1,1,1,2,1,4,1,2,2,2,1,1,1,0,0,1,0,2,0,0,0,1,1,1,2,3,1,1,2,3,2,3,3,3,1,1,0,0,97,0,0,2,4,2,3,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,3,5,4,3
1,101,39,3,2,0,3,2,2,3,25,4,9,1,1,3,2,3,3,2,1,1,2,2,1,3,8,1,2,2,8,2,3,2,2,3,2,0,1,2,1,1,0,0,0,0,0,1,0,0,0,1,4,1,0,1,1,0,1,1,1,1,4,0,3,3,3,1,1,1,2,101,39,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,3,4,4,2,4,4,4,1,1,1,2,4,1,2,2,3,1,3,0,1,1,1,0,5,90,5,0,1,1,3,3,2,2,2,2,2,2,1,2,2,2,2,2,2,0,3,3,5,4,3,2
1,101,40,3,2,4,1,3,6,4,6,4,9,1,3,3,1,1,3,2,1,1,2,4,1,1,8,1,3,4,3,2,2,2,1,0,2,3,1,2,1,1,4,4,4,4,4,4,4,4,4,4,4,1,1,1,4,4,4,4,4,4,2,1,4,3,3,1,1,1,2,101,40,3,3,1,1,1,1,1,1,3,1,1,1,1,5,2,2,2,2,4,4,4,4,4,4,1,5,1,5,5,5,4,1,3,1,2,1,1,0,0,0,4,75,15,6,2,4,2,3,2,1,2,2,2,2,1,2,2,2,2,2,2,2,3,2,4,3,4,1
1,101,41,3,1,5,2,3,11,1,3,4,1,1,1,3,2,2,3,2,2,1,1,2,2,1,8,1,1,4,3,2,2,1,1,3,2,2,2,2,2,2,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,4,1,1,1,1,2,2,4,3,3,1,1,1,2,101,41,3,1,1,1,2,1,2,1,1,1,4,1,1,2,2,2,2,4,4,4,4,4,4,4,1,1,1,3,2,1,2,1,2,1,1,1,1,2,2,0,0,85,5,10,2,1,3,3,2,2,2,1,2,2,2,1,2,2,2,2,2,2,3,2,5,0,3,2
