CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8A.,Q.8B.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32A.,Q.32B.,Q.33.,Q.34.,Q.35.,Q.37.,Q.38.,Q.39.,Q.40A.,Q.40B.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50A.,Q.50B.,Q.50C.,Q.50D.,Q.50E.,Q.50F.,Q.50G.,Q.50H.,Q.52.,V.54.,V.55.
1,192,77,2,2,4,6,6,1,3,5,1,2,6,6,6,5,1,2,2,1,2,4,2,2,3,2,4,1,2,3,2,1,2,1,2,1,1,1,2,3,1,2,1,1,1,2,1,3,1,1,2,0,1,1,3,3,1,3,2,3,3,3,5,2,6
1,192,78,2,2,2,6,6,1,3,5,1,2,5,6,6,1,1,2,1,1,2,2,1,1,1,1,3,2,1,1,2,1,1,1,2,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,3,1,1,3,3,2,1,3,3,2,2,5,2,25
1,192,79,2,2,2,6,6,1,3,5,1,2,5,6,6,1,1,2,2,1,4,1,1,1,1,2,4,2,1,1,3,3,3,1,2,3,1,2,2,1,1,2,1,1,1,2,2,2,1,2,1,2,1,1,3,3,2,3,3,3,1,2,4,2,46
1,192,80,2,2,2,6,7,1,3,5,1,2,5,2,2,5,1,2,4,1,4,1,3,1,2,2,4,2,3,3,3,3,2,1,4,1,4,2,2,1,3,3,1,2,1,1,1,1,1,1,2,3,1,1,3,3,1,3,2,3,2,1,5,1,73
1,192,81,2,2,2,6,8,1,3,5,1,2,5,2,2,1,1,1,2,1,2,2,3,1,2,1,4,2,2,2,3,3,2,1,2,3,2,2,2,1,2,3,1,2,1,1,2,1,0,2,1,2,1,2,3,3,2,3,2,3,3,3,2,1,49
1,192,82,2,3,1,6,6,1,3,5,1,2,5,2,2,1,1,1,2,1,3,1,1,1,1,0,0,1,1,1,2,0,1,1,2,1,1,3,2,1,2,2,1,1,1,1,2,1,1,2,2,3,1,1,3,3,2,3,2,3,3,3,4,1,6
1,192,83,2,1,3,6,0,1,3,5,1,2,5,2,2,1,3,2,2,2,2,3,1,1,1,2,4,2,2,2,1,3,1,1,2,1,1,2,2,1,2,2,1,3,2,1,1,2,2,2,3,3,3,1,3,3,2,3,2,3,3,2,5,1,45
1,192,84,2,1,3,6,7,1,3,5,1,2,4,2,2,1,2,2,2,1,3,2,3,3,1,1,4,1,2,2,2,1,1,1,2,1,2,2,2,1,2,2,1,1,1,1,2,2,1,2,2,3,1,1,3,3,2,3,2,3,3,3,6,1,8
1,192,85,2,1,3,6,6,1,3,5,1,2,5,6,6,2,3,2,3,1,1,4,3,2,0,2,3,2,1,3,2,1,1,1,3,1,3,2,2,0,2,2,1,1,1,2,1,1,1,1,2,1,0,2,3,3,1,3,2,3,1,3,5,1,1
1,192,86,2,2,2,6,7,1,3,5,1,2,6,7,2,3,2,2,2,1,1,3,2,1,3,1,4,2,4,3,2,1,2,1,5,2,4,1,2,1,2,0,1,2,2,2,2,1,1,3,2,3,1,1,3,3,3,3,2,3,3,3,5,1,93
1,192,87,2,1,3,6,7,1,3,5,1,2,4,2,2,5,4,2,3,3,1,4,3,2,2,3,3,3,4,5,2,3,2,2,5,1,2,2,2,2,2,3,2,3,3,1,1,1,2,2,2,2,2,2,3,3,2,3,2,3,3,3,5,1,56
1,192,88,2,1,1,7,6,1,3,5,2,2,5,6,5,1,1,2,1,1,1,4,3,2,0,2,4,1,1,4,2,1,4,2,1,2,2,2,2,1,2,2,1,1,1,1,1,1,2,3,1,3,1,2,3,3,3,3,3,3,3,0,5,4,13
1,192,89,2,2,2,7,6,1,3,5,2,2,5,6,6,1,1,2,2,1,2,2,1,3,1,2,4,1,1,3,2,1,1,1,2,1,1,2,2,2,1,1,1,1,1,2,2,2,1,1,2,3,1,1,3,2,2,2,2,2,3,1,1,4,16
1,192,90,2,2,2,7,6,1,3,5,2,2,5,6,6,2,1,0,1,1,2,2,1,1,1,2,3,1,1,2,2,1,1,1,3,1,2,2,2,1,2,1,1,1,1,2,2,1,1,2,2,1,2,1,2,3,2,3,1,3,2,2,6,4,7
1,192,91,2,1,2,7,7,1,3,5,2,2,5,5,5,1,1,2,3,1,1,4,3,2,2,2,4,2,3,4,2,1,1,1,4,1,1,1,2,1,1,2,2,1,2,2,1,1,1,2,2,2,3,1,3,3,3,3,3,3,3,3,5,4,15
1,192,92,2,2,2,7,7,1,3,5,2,2,5,6,5,1,2,2,2,1,2,2,1,1,1,2,4,1,1,2,2,1,2,1,2,1,2,2,2,1,2,2,1,1,1,2,1,1,1,2,2,2,1,1,3,3,2,3,2,3,3,3,4,4,20
1,192,93,2,3,1,7,6,1,3,5,2,2,5,6,1,1,1,1,4,1,2,4,3,1,1,1,3,1,1,1,0,3,0,2,0,3,1,1,2,3,5,0,4,2,1,1,1,3,1,3,1,3,1,1,3,3,2,3,2,3,1,3,5,2,7
1,192,94,2,2,2,7,6,1,3,5,2,2,5,6,6,1,1,2,3,1,2,3,1,1,1,0,4,1,1,1,1,2,3,2,3,2,1,2,2,1,2,2,1,1,1,1,1,2,1,2,2,1,1,1,3,3,2,2,2,3,3,2,1,2,67
1,192,95,2,2,3,7,7,3,3,4,2,2,5,6,6,2,2,2,2,1,2,2,3,1,1,1,4,1,1,2,3,2,4,2,3,2,1,2,2,1,2,2,1,3,1,1,2,1,1,2,1,2,3,2,3,2,2,2,1,3,3,1,5,2,40
1,192,96,2,1,2,7,7,4,3,4,2,2,5,6,1,2,2,2,1,1,1,2,3,1,1,1,4,1,1,1,2,2,1,1,3,2,4,1,3,1,2,3,1,1,1,1,2,1,1,2,2,4,1,1,3,3,0,3,2,3,3,3,5,1,51
1,192,97,2,2,5,7,5,1,3,5,2,2,5,2,2,5,4,1,3,1,3,4,3,1,1,2,3,2,4,3,3,3,3,2,5,1,1,2,2,1,2,3,1,3,1,1,2,0,2,0,2,2,1,2,3,2,1,3,1,3,3,2,5,1,77
1,192,98,2,2,2,7,6,1,3,5,2,2,5,2,2,5,2,2,2,2,1,4,3,3,2,0,4,2,1,1,2,1,1,1,4,1,2,2,3,1,2,2,1,1,0,1,3,0,2,0,1,1,1,1,3,3,1,3,1,3,3,0,1,1,74
1,192,99,2,1,0,7,5,1,3,5,2,2,5,2,1,2,2,2,2,1,2,2,1,1,3,1,4,1,1,2,2,3,2,2,2,1,1,2,2,1,2,2,1,3,1,1,1,3,1,1,2,4,1,1,3,3,3,3,3,3,3,3,2,1,50
1,192,100,2,1,2,7,7,3,3,1,2,2,5,2,2,1,1,2,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,1,2,2,2,2,1,2,2,1,2,1,1,2,3,1,3,1,2,1,1,3,3,1,3,1,3,3,3,4,1,97
1,192,101,2,1,2,6,6,1,3,5,2,2,5,6,6,2,1,2,1,1,4,1,1,1,1,2,4,1,1,1,2,2,2,1,5,1,1,2,2,1,2,2,1,1,1,1,2,1,1,2,1,3,1,1,3,3,2,3,2,2,2,3,5,2,96
1,192,102,2,1,3,6,6,1,3,5,2,2,2,2,2,2,3,2,4,1,4,3,1,1,1,2,4,1,4,5,2,2,3,1,4,1,1,2,2,2,2,2,1,1,1,1,1,3,2,2,1,1,2,1,3,3,2,3,3,3,3,3,5,2,35
1,192,103,2,2,1,6,7,1,3,5,2,2,5,6,6,3,1,2,1,1,1,1,3,1,3,1,4,1,1,1,3,1,1,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,1,3,1,2,1,1,3,3,1,3,3,3,3,3,5,2,47
1,192,104,2,2,3,6,6,1,3,5,2,2,5,6,6,1,1,2,2,1,2,1,3,1,1,1,4,1,1,1,2,3,2,1,3,3,2,2,3,1,2,2,1,2,1,1,2,2,1,2,2,3,1,1,3,3,3,3,3,3,3,3,6,2,3
1,192,105,2,1,1,6,7,1,3,5,2,2,5,6,6,2,1,2,1,1,2,2,1,1,3,1,4,2,2,2,3,3,2,2,3,3,1,2,2,1,2,3,1,3,1,1,2,1,1,2,1,1,1,3,2,2,1,2,2,2,2,2,4,2,97
1,192,106,2,2,2,6,6,1,3,5,2,2,4,6,6,2,1,2,2,2,4,3,1,1,1,2,3,2,1,2,2,3,1,1,2,1,2,2,2,1,1,2,1,1,1,2,2,3,1,2,1,3,2,1,3,3,2,3,3,3,3,2,5,2,33
1,192,107,2,2,2,6,8,1,3,5,2,2,4,4,4,2,2,3,2,1,3,2,3,1,1,1,3,2,4,2,2,1,1,1,0,1,1,0,2,1,2,0,0,0,1,1,2,3,1,2,2,4,2,1,3,3,3,3,2,2,3,2,6,1,35
1,192,108,2,2,2,6,6,1,3,5,2,2,5,2,2,2,1,2,2,2,3,2,1,1,1,1,3,2,1,1,2,1,2,2,3,1,1,2,3,1,2,2,1,1,1,1,2,1,1,1,1,4,1,1,3,3,2,3,2,3,2,2,5,1,53
1,192,109,2,2,2,6,6,1,3,5,2,2,5,2,2,2,2,2,4,1,4,3,3,1,0,1,3,1,1,1,2,0,2,1,3,1,3,3,2,1,2,2,1,1,1,2,2,1,1,1,3,1,3,1,3,3,2,2,2,3,3,3,5,1,43
1,192,110,2,1,3,6,8,1,3,5,2,2,4,2,2,2,3,4,3,1,3,2,3,1,3,1,3,1,2,1,0,3,1,2,3,1,3,2,2,1,2,2,1,2,1,1,2,1,1,2,1,1,1,1,3,3,1,3,2,1,3,2,5,1,11
1,192,111,2,1,3,6,6,1,3,5,2,2,4,2,2,1,3,2,2,1,1,2,1,1,1,2,4,1,2,2,2,3,2,2,0,1,1,2,3,1,2,0,1,2,1,1,2,1,1,2,0,1,1,1,3,2,3,3,3,3,3,3,5,1,84
1,192,112,2,1,3,6,6,1,3,5,2,2,5,2,1,2,1,2,1,1,3,1,1,1,1,1,3,1,1,1,2,3,1,1,5,1,4,2,2,1,2,2,1,1,1,1,1,1,1,3,2,1,1,1,3,3,2,3,3,3,3,3,6,5,36
1,192,113,2,3,2,6,8,1,3,5,2,2,5,7,2,2,1,1,1,1,2,2,2,1,3,1,3,2,1,1,0,0,0,0,2,1,1,2,2,1,2,2,1,1,1,1,2,1,1,2,2,3,1,1,2,3,2,3,2,2,2,2,2,5,28
1,192,114,2,1,2,6,6,1,3,5,2,2,5,2,1,3,1,2,1,1,2,1,1,1,1,1,3,1,1,1,2,3,1,1,5,1,3,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,3,3,2,3,3,3,3,3,6,5,19
1,192,115,2,1,3,6,6,1,3,5,2,2,5,7,2,2,1,2,2,1,2,2,1,1,1,2,4,2,1,2,2,2,3,2,4,1,2,2,3,1,2,3,2,1,1,1,1,1,1,2,2,2,1,1,2,2,2,3,2,3,2,2,4,5,37
1,192,116,2,1,4,6,6,2,1,1,1,4,4,5,2,2,1,2,4,1,1,1,1,1,2,1,4,1,3,5,1,2,4,2,5,1,1,2,3,1,2,2,1,1,1,1,1,1,1,2,2,1,3,1,3,3,2,3,3,3,3,3,6,5,40
1,192,117,2,1,2,4,8,2,1,4,1,4,4,2,1,2,3,2,2,1,3,2,3,2,3,1,4,1,1,1,2,3,3,2,5,1,3,2,2,2,1,2,1,1,1,1,2,1,2,2,2,1,1,1,2,3,2,1,1,3,3,1,5,5,35
1,192,118,2,1,2,5,7,2,2,4,1,4,5,0,6,2,2,2,1,1,2,5,3,1,2,2,4,1,1,1,2,2,4,2,3,3,2,2,2,2,2,2,1,3,3,1,1,2,1,1,2,1,1,1,2,3,1,3,2,2,3,2,1,2,66
1,192,119,2,3,2,0,7,1,3,5,1,2,5,6,6,2,1,1,1,1,4,1,1,1,1,1,2,2,1,1,2,1,1,1,1,3,2,2,2,1,2,2,1,3,1,1,2,1,1,2,2,2,1,1,3,3,2,3,2,2,2,3,5,2,94
1,192,120,2,1,2,0,8,1,3,5,1,2,5,7,7,2,1,4,1,1,3,1,1,1,1,1,3,2,1,2,3,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,2,2,1,2,2,2,1,2,3,3,2,3,3,2,2,2,5,2,13
1,192,121,2,1,2,6,7,2,1,4,2,4,5,6,6,3,1,2,2,1,2,2,1,1,1,1,4,1,1,1,2,3,3,1,3,2,1,2,2,1,2,2,1,2,1,1,1,2,1,3,1,1,1,1,3,3,3,3,3,3,3,3,5,2,74
1,192,122,2,1,2,6,6,2,2,4,2,4,5,6,6,1,2,2,1,1,2,2,2,1,3,2,4,2,2,3,1,2,4,2,3,3,1,2,2,2,2,2,1,1,1,2,2,2,1,2,1,3,2,1,3,3,2,3,2,3,3,3,5,2,27
1,192,123,2,1,3,6,7,2,2,4,2,4,5,2,2,4,4,2,3,3,2,4,3,2,2,2,4,2,4,2,2,2,2,2,3,1,1,2,2,1,2,2,1,2,1,1,1,1,2,0,2,1,4,1,3,3,2,3,2,3,3,2,5,1,5
1,192,124,2,1,5,6,6,2,1,4,2,4,5,2,2,1,2,2,2,1,3,2,1,1,1,1,4,1,2,2,2,1,2,1,2,1,1,1,2,1,1,2,1,2,1,1,1,1,1,3,2,3,1,1,3,3,2,3,3,3,3,3,5,1,15
1,192,125,2,1,3,2,7,2,2,4,2,4,4,2,2,4,3,2,2,1,1,3,1,2,3,2,4,2,3,2,1,2,3,1,5,2,2,2,2,1,2,3,1,2,2,1,2,3,2,2,1,4,3,1,2,2,1,3,2,3,2,2,5,2,64
1,192,126,2,1,2,2,6,2,2,4,2,4,5,2,1,2,1,2,1,1,3,1,1,1,1,1,4,1,1,1,2,3,2,2,4,1,1,2,3,2,3,3,1,2,1,1,1,1,1,2,2,1,1,2,2,3,2,3,1,3,3,1,3,5,10
1,192,127,2,1,3,3,8,2,2,4,2,4,5,6,6,2,1,2,4,1,1,3,1,1,1,1,4,1,1,4,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,3,3,2,3,1,2,3,3,5,4,23
1,192,128,2,1,3,3,6,2,2,4,2,4,5,6,6,2,2,2,2,1,2,2,1,1,3,2,4,2,1,1,3,2,4,2,3,1,2,2,3,2,2,2,1,1,1,2,2,3,1,2,1,2,1,2,1,3,2,3,2,3,3,1,5,2,75
1,192,129,2,1,2,3,6,2,2,4,2,4,4,5,4,5,1,2,3,1,1,3,3,1,0,1,4,2,3,1,2,3,2,1,3,2,2,2,2,1,2,0,0,1,1,1,2,1,1,3,1,4,1,2,3,3,2,3,2,3,2,2,5,1,3
1,192,130,2,1,2,3,6,2,2,4,2,4,5,2,2,2,2,2,2,1,1,3,3,2,3,2,3,2,4,3,2,1,2,2,3,1,3,2,2,2,2,2,1,3,3,2,2,1,3,2,1,1,3,2,3,3,2,2,3,2,3,1,5,1,4
1,192,131,2,1,3,3,7,2,2,4,2,4,5,2,2,2,3,2,3,2,2,3,1,2,2,2,4,2,3,2,2,3,3,1,4,1,3,2,1,2,5,3,3,2,2,2,1,1,1,1,2,2,2,1,3,3,2,3,2,3,3,3,2,1,83
1,192,132,2,1,5,3,8,2,2,4,2,4,5,5,3,5,2,2,2,2,1,2,3,1,3,1,4,2,4,2,2,3,2,2,4,2,2,2,2,2,2,3,4,3,3,2,2,3,1,2,2,4,3,2,2,2,1,3,2,3,3,1,4,1,24
1,192,133,2,1,2,3,6,2,1,4,2,4,1,1,1,1,1,2,1,1,1,1,1,1,3,1,4,1,1,1,2,3,3,2,3,1,2,2,2,1,2,2,1,0,1,2,2,1,1,1,2,3,1,1,3,3,1,3,2,3,2,3,5,5,48
1,192,134,2,1,3,3,7,2,2,4,2,4,4,5,2,2,1,2,1,1,2,1,1,3,3,1,4,2,3,1,1,2,4,2,5,1,1,2,2,1,2,3,1,2,1,2,3,3,1,1,3,1,4,1,3,3,1,3,2,3,3,1,4,5,33
1,192,135,2,1,3,4,6,2,1,4,2,4,4,3,3,1,1,2,2,2,1,2,3,1,1,2,3,1,3,2,1,2,2,1,4,1,1,2,2,3,2,2,1,1,1,2,3,1,2,1,1,2,3,1,3,2,1,3,1,3,3,2,2,3,25
1,192,136,2,1,3,4,6,2,2,4,2,4,5,2,2,5,3,2,3,2,3,3,3,3,2,2,3,2,3,2,2,3,2,2,4,1,4,2,2,1,2,2,1,2,2,2,2,3,2,2,2,2,2,1,3,3,2,3,2,3,3,3,5,1,27
1,192,137,2,1,5,4,6,2,2,4,2,4,6,6,5,4,1,2,3,3,1,4,3,2,2,2,4,2,4,2,2,1,2,1,3,2,2,2,2,1,2,2,1,2,2,2,3,3,2,1,2,1,3,3,3,1,2,3,2,3,3,1,5,1,89
1,192,138,2,1,3,5,6,2,2,4,2,4,4,2,2,2,1,2,3,1,2,2,3,0,3,2,4,1,4,1,2,1,1,1,5,3,1,1,2,1,5,3,2,3,3,1,2,1,2,3,1,3,1,1,2,2,2,3,2,1,2,2,5,2,12
1,192,139,2,1,3,5,7,2,2,4,2,4,5,3,3,2,3,2,4,2,2,3,1,3,2,2,4,2,4,2,2,2,4,2,5,1,2,2,3,1,2,2,1,1,1,2,2,3,3,3,2,4,3,3,3,2,2,3,3,3,2,2,5,3,6
1,192,140,2,1,3,5,8,2,2,4,2,4,5,3,3,2,1,2,2,1,2,1,1,1,3,2,4,2,1,1,1,2,4,2,4,1,2,2,3,1,2,2,1,1,1,1,1,1,1,2,1,2,2,1,3,3,2,3,2,3,3,2,5,3,11
1,192,141,2,1,2,5,7,2,2,4,2,4,4,2,2,2,1,2,2,1,1,2,1,1,3,1,3,1,2,2,2,1,1,1,1,2,4,1,3,1,2,2,1,3,2,1,2,1,1,2,2,1,2,1,2,3,0,2,2,2,2,1,4,1,13
1,192,142,2,1,2,5,6,2,1,4,2,4,4,2,2,2,2,2,1,1,3,2,3,1,2,2,3,2,2,1,2,1,2,1,2,1,1,2,2,1,2,2,1,2,2,2,2,3,1,3,2,2,1,1,3,3,2,3,2,3,3,3,5,1,81
1,192,143,2,2,3,7,6,2,2,4,2,4,5,6,6,2,1,1,1,1,2,4,1,2,1,1,4,1,1,4,2,1,1,1,2,1,2,2,2,1,1,2,1,1,1,1,1,1,1,2,2,3,1,1,3,3,3,3,3,3,3,3,5,4,18
1,192,144,2,1,2,7,7,2,2,4,2,4,6,2,2,2,1,2,3,2,2,4,3,2,2,2,3,2,3,3,3,2,1,1,3,1,2,2,2,1,2,2,1,2,2,2,3,2,2,2,2,3,2,3,3,2,1,3,1,2,2,2,2,1,59
1,192,145,2,1,3,0,7,1,3,5,2,3,4,4,4,1,1,4,1,1,4,1,1,1,1,1,4,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,3,1,1,3,3,2,2,3,3,3,2,0,2,51
1,192,146,2,1,0,0,6,1,3,5,2,1,4,4,4,4,4,2,2,1,1,0,0,2,0,2,3,1,1,1,1,0,1,1,2,2,1,2,2,1,0,1,1,1,1,1,2,3,2,2,1,1,2,1,3,2,2,3,1,3,2,2,2,3,1
1,192,147,2,1,3,4,6,1,3,5,0,3,4,2,2,5,0,2,3,2,3,3,0,3,2,2,1,1,0,3,2,1,3,2,0,1,1,2,2,2,2,0,1,1,1,2,2,1,2,3,0,3,1,1,3,3,3,3,2,0,3,3,5,1,25
1,192,148,2,2,2,5,6,1,3,5,0,3,5,2,2,2,3,2,2,2,3,3,3,2,0,2,4,2,3,2,0,2,3,2,3,1,1,1,2,2,2,2,1,0,0,2,1,3,2,2,1,1,0,1,3,3,2,3,2,3,3,0,4,1,2
1,192,149,2,3,2,5,8,1,3,5,1,3,6,2,2,2,1,1,2,1,3,2,3,1,1,2,3,2,1,1,2,3,2,1,2,3,3,3,2,2,2,3,2,2,1,2,2,1,1,2,2,2,1,2,3,3,2,2,1,2,2,2,6,1,82
1,192,150,2,1,2,5,6,1,3,5,1,3,5,2,2,2,2,2,2,1,3,2,3,2,3,2,4,1,4,3,0,2,4,2,4,1,2,2,2,1,2,2,2,2,1,1,2,1,2,3,1,1,3,1,3,3,2,3,2,3,3,3,5,1,94
1,192,151,2,1,2,4,7,1,3,5,1,1,5,5,2,2,4,2,4,2,1,4,3,2,2,1,4,3,3,2,2,3,2,1,2,1,2,1,3,1,3,2,1,2,2,1,1,1,2,3,2,3,3,1,3,3,2,3,2,3,3,3,5,1,92
1,192,152,2,1,3,5,6,1,3,5,1,3,4,5,3,2,1,2,2,1,2,2,3,1,3,2,4,2,0,2,2,0,0,2,4,2,2,2,2,2,3,0,2,1,0,2,2,1,1,2,1,1,1,2,2,2,2,1,2,3,3,2,5,1,62
1,192,153,2,2,3,3,6,1,3,5,1,3,5,1,1,1,3,2,4,2,2,3,1,2,3,1,4,2,1,3,2,2,2,2,3,1,1,2,2,1,2,2,1,3,1,2,3,1,2,2,1,4,3,1,3,2,2,3,2,3,1,2,5,1,42
1,192,154,2,1,2,1,6,1,3,5,2,3,2,2,2,2,1,2,4,1,2,1,3,1,2,1,3,2,1,1,2,1,1,1,3,1,1,2,2,2,2,2,1,3,2,1,1,1,1,2,2,1,2,2,2,2,1,3,2,3,3,3,2,2,73
