,CARD,DECK,BALLOT,FORM,S192B.Q1,S192B.Q2,S192B.Q3,S192B.Q4,S192B.Q5,S192B.Q6,S192B.Q7,S192B.Q8A,S192B.Q8B,S192B.Q9,S192B.Q10,S192B.Q11,S192B.Q12,S192B.Q13,S192B.Q14,S192B.Q15,S192B.Q16,S192B.Q17,S192B.Q18,S192B.Q19,S192B.Q20,S192B.Q21,S192B.Q22,S192B.Q23,S192B.Q24,S192B.Q25,S192B.Q26,S192B.Q27,S192B.Q28,S192B.Q29,S192B.Q30,S192B.Q31,S192B.Q32A,S192B.Q32B,S192B.Q33,S192B.Q34,S192B.Q35,S192B.Q36.n,S192B.Q37,S192B.Q38,S192B.Q39,S192B.Q40A,S192B.Q40B,S192B.Q41,S192B.Q42,S192B.Q43,S192B.Q44,S192B.Q45,S192B.Q46,S192B.Q47,S192B.Q48,S192B.Q49,S192B.Q50A,S192B.Q50B,S192B.Q50C,S192B.Q50D,S192B.Q50E,S192B.Q50F,S192B.Q50G,S192B.Q50H,S192B.Q51.n,S192B.Q52,S192B.Q52A.n,S192B.Q52B.n,S192B.Q52C.n,S192B.Q52D.n,S192B.Q53.n,S192B.V54,S192B.V55
0,1.0,192.0,1.0,2.0,2.0,1.0,4.0,6.0,1.0,3.0,5.0,1.0,2.0,5.0,6.0,6.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,,2.0,,,,,,2.0,18.0
1,1.0,192.0,2.0,2.0,1.0,3.0,2.0,7.0,1.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0,3.0,,5.0,,,,,,2.0,5.0
2,1.0,192.0,3.0,2.0,1.0,2.0,2.0,7.0,1.0,3.0,5.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,5.0,3.0,1.0,1.0,2.0,4.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,,2.0,,,,,,2.0,26.0
3,1.0,192.0,4.0,2.0,1.0,3.0,2.0,8.0,1.0,3.0,5.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,4.0,1.0,2.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,,3.0,0.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,4.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,,4.0,,,,,,3.0,28.0
4,1.0,192.0,5.0,2.0,1.0,2.0,2.0,7.0,1.0,3.0,5.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,,2.0,,,,,,5.0,31.0
5,1.0,192.0,6.0,2.0,1.0,2.0,3.0,7.0,1.0,3.0,5.0,2.0,2.0,5.0,6.0,6.0,4.0,4.0,2.0,3.0,3.0,1.0,4.0,3.0,1.0,1.0,3.0,4.0,1.0,2.0,4.0,2.0,1.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,,4.0,,,,,,4.0,0.0
6,1.0,192.0,7.0,2.0,1.0,3.0,3.0,6.0,1.0,3.0,5.0,2.0,2.0,5.0,6.0,6.0,5.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,,2.0,,,,,,2.0,80.0
7,1.0,192.0,8.0,2.0,1.0,2.0,3.0,6.0,1.0,3.0,5.0,2.0,2.0,5.0,6.0,6.0,2.0,1.0,1.0,3.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,,2.0,3.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,,5.0,,,,,,2.0,17.0
8,1.0,192.0,9.0,2.0,1.0,3.0,3.0,6.0,1.0,3.0,5.0,2.0,2.0,5.0,3.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,5.0,1.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,,5.0,2.0,4.0,3.0,3.0,2.0,2.0,1.0,0.0,3.0,2.0,4.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,,2.0,,,,,,3.0,19.0
9,1.0,192.0,10.0,2.0,2.0,3.0,3.0,6.0,1.0,3.0,5.0,2.0,2.0,5.0,1.0,1.0,0.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,4.0,2.0,3.0,2.0,0.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,,2.0,4.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,,5.0,,,,,,1.0,30.0
10,1.0,192.0,11.0,2.0,1.0,3.0,3.0,8.0,1.0,3.0,5.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,,2.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,,5.0,,,,,,1.0,29.0
11,1.0,192.0,12.0,2.0,1.0,3.0,3.0,6.0,1.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,5.0,1.0,2.0,2.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,,2.0,,,,,,5.0,7.0
12,1.0,192.0,13.0,2.0,1.0,4.0,4.0,7.0,1.0,3.0,5.0,2.0,2.0,5.0,6.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,3.0,0.0,1.0,4.0,1.0,3.0,1.0,0.0,3.0,2.0,2.0,5.0,1.0,2.0,1.0,2.0,1.0,,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,,4.0,,,,,,2.0,24.0
13,1.0,192.0,14.0,2.0,1.0,3.0,4.0,6.0,1.0,3.0,5.0,2.0,2.0,5.0,6.0,6.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,3.0,1.0,,2.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,3.0,2.0,1.0,4.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,,5.0,,,,,,2.0,85.0
14,1.0,192.0,15.0,2.0,1.0,3.0,4.0,6.0,1.0,3.0,5.0,2.0,2.0,5.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,3.0,,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,,5.0,,,,,,3.0,20.0
15,1.0,192.0,16.0,2.0,1.0,3.0,4.0,6.0,1.0,3.0,5.0,2.0,2.0,5.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,2.0,3.0,3.0,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,,2.0,,,,,,3.0,22.0
16,1.0,192.0,17.0,2.0,1.0,2.0,4.0,6.0,1.0,3.0,5.0,2.0,2.0,5.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,3.0,1.0,4.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,,1.0,,,,,,3.0,9.0
17,1.0,192.0,18.0,2.0,1.0,4.0,4.0,7.0,1.0,3.0,5.0,2.0,2.0,4.0,4.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,5.0,1.0,2.0,3.0,2.0,2.0,,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,,4.0,,,,,,3.0,3.0
18,1.0,192.0,19.0,2.0,1.0,5.0,4.0,8.0,1.0,3.0,5.0,2.0,2.0,5.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,,5.0,,,,,,1.0,33.0
19,1.0,192.0,20.0,2.0,1.0,2.0,4.0,7.0,1.0,3.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,2.0,,5.0,,,,,,1.0,66.0
20,1.0,192.0,21.0,2.0,2.0,3.0,4.0,6.0,1.0,3.0,5.0,2.0,2.0,5.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,3.0,1.0,3.0,2.0,4.0,2.0,4.0,3.0,3.0,2.0,2.0,1.0,,2.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,,2.0,,,,,,1.0,12.0
21,1.0,192.0,22.0,2.0,2.0,3.0,4.0,6.0,1.0,3.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,4.0,2.0,5.0,2.0,2.0,1.0,3.0,1.0,,1.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0,3.0,2.0,1.0,,5.0,,,,,,1.0,79.0
22,1.0,192.0,23.0,2.0,1.0,3.0,4.0,7.0,1.0,3.0,5.0,2.0,2.0,5.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,,5.0,,,,,,1.0,41.0
23,1.0,192.0,24.0,2.0,1.0,3.0,4.0,6.0,1.0,3.0,5.0,2.0,2.0,5.0,6.0,2.0,5.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,0.0,,3.0,,,,,,5.0,45.0
24,1.0,192.0,25.0,2.0,1.0,1.0,5.0,7.0,1.0,3.0,5.0,2.0,2.0,5.0,6.0,6.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,,4.0,,,,,,4.0,6.0
25,1.0,192.0,26.0,2.0,1.0,3.0,5.0,7.0,1.0,3.0,5.0,2.0,2.0,5.0,6.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,,2.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,,5.0,,,,,,4.0,5.0
26,1.0,192.0,27.0,2.0,2.0,2.0,5.0,8.0,1.0,3.0,5.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,,2.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,,2.0,,,,,,4.0,24.0
27,1.0,192.0,28.0,2.0,1.0,3.0,5.0,6.0,1.0,3.0,5.0,2.0,2.0,5.0,6.0,6.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,,2.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,,2.0,,,,,,2.0,65.0
28,1.0,192.0,29.0,2.0,1.0,5.0,5.0,6.0,1.0,3.0,5.0,2.0,2.0,5.0,2.0,2.0,5.0,3.0,2.0,4.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,4.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,,3.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,1.0,2.0,3.0,3.0,,5.0,,,,,,2.0,82.0
29,1.0,192.0,30.0,2.0,1.0,3.0,5.0,6.0,1.0,3.0,5.0,2.0,2.0,5.0,6.0,6.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,,6.0,,,,,,2.0,19.0
30,1.0,192.0,31.0,2.0,2.0,3.0,5.0,6.0,1.0,3.0,5.0,2.0,2.0,5.0,6.0,6.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,,6.0,,,,,,2.0,2.0
31,1.0,192.0,32.0,2.0,1.0,3.0,5.0,6.0,1.0,3.0,5.0,2.0,2.0,5.0,6.0,5.0,5.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,3.0,1.0,,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,,4.0,,,,,,2.0,45.0
32,1.0,192.0,33.0,2.0,1.0,3.0,5.0,8.0,1.0,3.0,5.0,2.0,2.0,5.0,7.0,6.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,,2.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,,1.0,,,,,,2.0,95.0
33,1.0,192.0,34.0,2.0,2.0,2.0,5.0,6.0,1.0,3.0,5.0,2.0,2.0,5.0,6.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,,2.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,,5.0,,,,,,2.0,87.0
34,1.0,192.0,35.0,2.0,1.0,2.0,5.0,6.0,1.0,3.0,5.0,2.0,2.0,5.0,6.0,6.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,,,,2.0,76.0
35,1.0,192.0,36.0,2.0,1.0,3.0,5.0,7.0,1.0,3.0,5.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,4.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,,2.0,,,,,,2.0,29.0
36,1.0,192.0,37.0,2.0,1.0,2.0,5.0,7.0,1.0,3.0,5.0,2.0,2.0,5.0,6.0,6.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,,5.0,,,,,,2.0,36.0
37,1.0,192.0,38.0,2.0,1.0,2.0,5.0,6.0,1.0,3.0,5.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,1.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,4.0,2.0,5.0,1.0,1.0,2.0,2.0,1.0,,3.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,,4.0,,,,,,3.0,14.0
38,1.0,192.0,39.0,2.0,1.0,3.0,5.0,7.0,1.0,3.0,5.0,2.0,2.0,5.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,,5.0,,,,,,3.0,0.0
39,1.0,192.0,40.0,2.0,1.0,3.0,5.0,7.0,1.0,3.0,5.0,2.0,2.0,5.0,3.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,3.0,4.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,,2.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,,3.0,,,,,,3.0,13.0
40,1.0,192.0,41.0,2.0,1.0,3.0,5.0,6.0,1.0,3.0,5.0,2.0,2.0,5.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,5.0,2.0,1.0,2.0,3.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,,5.0,,,,,,3.0,27.0
41,1.0,192.0,42.0,2.0,1.0,3.0,5.0,6.0,1.0,3.0,5.0,2.0,2.0,5.0,3.0,3.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,,4.0,,,,,,3.0,16.0
