CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27A.,Q.27B.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37A.,Q.37B.,Q.38.,Q.39A.,Q.39B.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44A.,Q.44B.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.54.,Q.55.,Q.56.,Q.57.,Q.59.,Q.60.,Q.61.,CARD..1,DECK..1,BALLOT..1,BALLOT..2,Q.62.,V.64.,V.65.,V.66.,V.67.,V.68.
1,218,1,3,2,30,3,1,1,1,6,14,1,4,2,2,3,5,1,1,2,5,5,2,2,1,2,2,2,3,3,3,2,2,2,1,1,1,5,1,3,3,67,1,2,1,3,6,2,4,1,2,2,1,2,1,1,5,9,9,99,9,9,5,2,24,2,218,1,3,7,2,2,2,8,6
1,218,2,3,2,30,2,2,2,1,6,14,2,1,2,1,2,4,2,1,1,2,3,1,3,1,1,2,4,0,0,0,2,3,2,2,1,1,4,1,2,1,62,1,2,2,1,0,2,1,3,2,2,2,3,1,1,5,9,9,99,9,9,5,2,25,2,218,2,3,9,2,2,2,8,4
1,218,3,3,2,30,3,2,2,1,6,14,1,4,2,3,4,0,2,1,3,3,3,2,2,1,1,2,2,2,2,3,0,1,1,1,1,1,5,1,2,2,55,1,1,1,3,6,2,6,0,0,2,2,1,1,1,5,9,9,99,9,9,5,2,24,2,218,3,3,7,2,2,2,8,2
1,218,4,3,2,30,2,2,2,1,0,14,1,4,2,3,3,4,1,1,3,2,4,1,1,1,2,2,4,2,2,0,1,1,3,2,1,3,4,1,3,2,60,1,1,1,3,6,2,0,3,2,2,2,1,1,1,5,9,9,99,9,9,5,2,24,2,218,4,3,7,2,2,2,8,0
1,218,5,3,3,30,2,1,1,1,6,14,1,4,2,3,4,5,2,1,3,3,4,1,1,1,2,2,2,3,3,3,2,2,2,2,1,2,5,1,1,1,57,1,2,1,5,2,2,4,1,2,2,1,3,1,1,5,9,9,99,9,9,4,2,24,2,218,5,3,7,2,2,2,8,3
1,218,6,3,1,12,3,11,99,1,6,14,2,3,2,3,4,5,3,3,3,3,5,1,2,1,2,2,2,3,4,3,2,2,2,4,1,2,5,1,3,3,18,1,1,1,3,6,2,5,1,2,4,2,2,1,1,5,9,9,99,9,9,6,1,7,2,218,6,3,8,2,2,2,8,8
1,218,7,3,2,30,3,11,99,1,6,14,1,4,2,1,1,3,2,2,2,3,3,1,3,1,2,2,3,4,4,3,1,1,3,5,1,2,5,5,3,2,59,1,1,1,3,6,2,6,0,1,2,2,3,1,1,5,9,9,99,9,9,6,2,25,2,218,7,3,7,2,2,2,8,7
1,218,8,3,2,30,2,1,1,1,6,14,2,4,2,3,4,6,2,3,3,3,4,1,2,1,2,2,2,2,3,3,2,3,3,3,1,2,4,3,3,2,54,1,1,1,3,6,2,5,2,2,2,2,2,1,1,5,9,9,99,9,9,6,2,24,2,218,8,3,7,2,2,2,8,10
1,218,9,3,4,23,3,2,2,2,1,1,3,1,3,3,4,4,1,1,1,2,3,2,3,1,2,2,3,3,4,3,3,4,3,1,2,4,3,3,2,2,57,1,1,1,3,6,1,1,3,2,2,2,3,2,6,4,9,9,99,9,9,3,2,17,2,218,9,3,9,2,2,1,7,23
1,218,10,3,1,27,2,2,2,1,6,1,2,3,1,3,4,5,2,1,3,4,4,2,2,1,2,2,2,2,3,3,3,1,2,1,1,2,5,1,1,2,53,1,2,1,3,6,2,4,1,2,1,1,1,2,2,1,9,9,99,9,9,5,2,22,2,218,10,3,8,2,2,1,7,26
1,218,11,3,1,34,2,2,2,1,6,1,2,2,3,1,3,5,3,1,3,2,3,1,3,2,2,2,4,1,1,3,1,1,4,4,2,3,1,4,3,0,60,2,1,2,3,6,4,4,1,2,3,3,3,2,6,4,9,9,99,9,9,0,2,23,2,218,11,3,7,2,2,1,7,46
1,218,12,3,1,34,2,2,2,1,6,1,1,2,3,1,2,4,2,1,2,2,3,2,3,1,2,1,1,2,3,2,1,4,4,4,2,4,1,4,2,1,62,1,4,1,3,6,3,6,0,4,5,3,3,2,6,4,9,9,99,9,9,1,2,23,2,218,12,3,7,2,2,1,7,47
1,218,13,3,2,28,2,2,2,1,0,1,2,2,2,2,3,4,2,1,3,3,0,2,2,3,1,0,2,3,3,3,1,2,4,2,3,2,3,5,3,3,57,1,2,2,2,5,5,0,1,2,2,1,1,2,2,1,9,9,99,9,9,3,2,23,2,218,13,3,8,2,2,1,7,43
1,218,14,3,2,28,3,2,2,2,1,1,2,2,2,2,4,6,2,1,3,4,3,2,1,1,2,2,3,2,3,4,1,1,2,2,1,2,3,0,3,3,54,1,1,2,2,5,2,6,2,3,2,1,2,2,2,1,9,9,99,9,9,5,2,22,2,218,14,3,7,2,2,1,7,0
1,218,15,3,2,34,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,1,1,0,0,0,2,0,4,0,0,0,0,0,2,62,1,1,2,0,5,3,0,0,1,1,0,1,2,2,0,9,9,99,9,9,1,3,22,2,218,15,3,0,2,2,1,7,3
1,218,16,3,2,34,2,2,2,2,0,1,1,4,1,1,1,3,2,3,3,4,7,2,1,1,3,2,1,3,4,4,1,3,4,4,3,4,4,4,3,3,62,2,5,1,3,6,5,6,0,3,5,3,3,2,6,4,9,9,99,9,9,4,5,23,2,218,16,3,0,2,2,1,7,33
1,218,17,3,2,35,2,2,2,1,6,1,1,4,2,3,3,5,2,1,2,3,3,1,2,1,2,2,2,3,4,3,2,3,3,3,1,3,5,3,2,2,62,1,1,1,3,6,3,4,1,1,5,2,3,2,8,2,9,9,99,9,9,5,2,22,2,218,17,3,6,2,2,1,7,44
1,218,18,3,2,35,2,2,2,2,1,1,1,3,2,1,3,4,2,3,2,2,1,1,2,1,3,0,2,2,2,3,1,3,3,3,2,4,5,2,1,2,73,1,1,1,2,2,5,4,2,3,2,2,1,2,2,2,9,9,99,9,9,2,3,23,2,218,18,3,0,2,2,1,7,30
1,218,19,3,3,29,2,2,2,1,0,1,2,2,2,3,3,4,2,1,3,2,3,2,2,3,2,2,2,2,5,3,2,2,1,2,1,2,3,5,3,3,57,1,1,1,3,6,2,5,1,3,1,1,3,2,8,0,9,9,99,9,9,6,2,23,2,218,19,3,6,2,2,1,7,7
1,218,20,3,3,31,3,2,2,2,1,1,2,3,2,1,2,3,2,3,1,2,3,1,2,1,2,2,2,2,3,3,1,2,2,3,1,3,3,1,1,2,74,1,2,1,3,6,3,1,3,3,2,2,2,2,4,1,9,9,99,9,9,6,3,27,2,218,20,3,6,2,2,1,7,12
1,218,21,3,3,27,3,2,2,3,6,1,1,4,2,3,3,5,2,1,3,4,5,2,2,1,2,2,3,3,3,3,3,1,1,1,1,1,1,1,3,3,52,1,1,1,3,6,1,6,1,1,4,3,3,2,2,1,9,9,99,9,9,4,4,21,2,218,21,3,7,2,2,1,7,17
1,218,22,3,3,31,3,2,2,1,6,1,3,2,2,3,3,5,2,1,3,3,4,2,2,2,3,2,3,2,2,3,2,2,3,3,1,2,5,4,3,2,62,1,1,1,3,6,2,6,0,1,2,2,3,2,2,3,9,9,99,9,9,4,2,27,2,218,22,3,6,2,2,1,7,22
1,218,23,3,3,32,2,2,2,2,1,1,3,4,2,2,2,3,1,1,3,3,3,1,2,1,2,2,3,2,4,3,1,2,2,2,1,2,5,1,1,2,71,1,1,1,4,2,2,2,3,2,2,1,2,2,2,2,9,9,99,9,9,5,3,23,2,218,23,3,7,2,2,1,7,42
1,218,24,3,3,34,2,2,2,1,6,1,2,2,2,1,3,4,2,1,3,3,4,2,2,1,2,2,2,3,3,4,1,2,3,2,1,2,1,2,2,1,62,1,1,1,3,6,4,1,3,2,3,2,2,2,2,2,9,9,99,9,9,5,2,23,2,218,24,3,7,2,2,1,7,28
1,218,25,3,3,34,3,2,2,2,6,1,3,3,2,1,2,0,1,1,3,3,3,1,2,3,3,1,3,3,3,3,1,1,1,2,1,1,3,1,0,2,69,2,2,1,3,6,1,0,0,4,5,1,2,2,5,0,9,9,99,9,9,0,4,30,2,218,25,3,0,2,2,1,7,8
1,218,26,3,3,35,3,2,2,2,6,1,2,3,2,2,2,3,1,3,2,3,3,2,2,1,2,2,3,2,3,3,2,3,2,2,2,2,3,3,3,1,62,1,2,1,3,6,2,3,2,2,3,2,1,2,2,2,9,9,99,9,9,5,5,23,2,218,26,3,7,2,2,1,7,50
1,218,27,3,3,36,2,2,2,1,6,1,1,4,2,2,1,2,2,3,1,3,3,1,2,3,3,2,2,2,4,4,1,3,4,5,3,5,4,5,3,2,62,2,5,1,3,6,5,6,2,4,4,1,3,2,0,0,9,9,99,9,9,5,2,24,2,218,27,3,7,2,2,1,7,32
1,218,28,3,4,32,3,2,2,1,6,1,2,3,2,2,3,3,2,1,3,3,3,1,0,1,2,2,2,3,3,3,2,1,3,2,2,1,4,2,1,3,62,1,1,1,3,6,4,1,2,3,2,1,2,2,2,2,9,9,99,9,9,4,2,22,2,218,28,3,7,2,2,1,7,27
1,218,29,3,2,0,3,11,99,2,4,1,0,1,1,1,0,0,1,3,3,10,0,1,3,3,3,0,0,0,0,4,1,0,1,5,3,5,5,5,2,0,67,2,5,1,0,6,5,6,1,4,5,3,2,2,2,1,9,9,99,9,9,1,4,10,2,218,29,3,0,2,2,1,7,14
1,218,30,3,3,0,1,2,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,5,0,3,6,0,0,0,0,0,0,0,0,0,0,9,9,99,9,9,1,2,23,2,218,30,3,7,2,2,1,7,37
1,218,31,3,3,40,3,1,1,1,6,1,2,1,2,3,4,5,2,1,3,4,5,1,2,1,2,2,3,3,4,3,2,1,2,2,1,2,4,5,3,1,43,2,1,1,3,6,2,4,1,3,2,3,3,1,1,5,9,9,99,9,9,5,3,7,2,218,31,3,9,2,2,1,7,6
1,218,32,3,4,51,3,2,2,1,6,1,1,3,1,3,2,4,1,1,3,4,5,2,1,2,2,1,3,2,4,3,2,2,2,2,2,2,0,5,3,0,78,1,1,1,3,6,5,0,0,2,1,0,0,2,2,1,9,9,99,9,9,6,4,23,2,218,32,3,6,2,2,1,7,34
1,218,33,3,3,37,2,2,2,1,6,1,2,2,2,3,4,5,2,1,3,3,4,2,2,1,2,2,3,3,3,3,2,1,3,3,1,3,1,3,2,1,62,1,2,1,3,6,2,3,2,2,2,2,2,2,7,1,9,9,99,9,9,7,2,23,2,218,33,3,9,2,2,1,7,40
1,218,34,3,1,40,3,11,99,1,6,1,2,4,1,3,3,4,2,1,3,3,4,2,1,3,2,1,2,3,4,3,2,2,2,1,1,2,4,1,3,2,49,0,2,1,2,5,2,6,2,2,2,2,2,2,4,1,9,9,99,9,9,2,2,7,2,218,34,3,8,2,2,1,7,4
1,218,35,3,2,39,3,2,2,1,6,1,2,1,2,3,4,5,2,3,3,3,2,2,2,1,2,2,2,2,3,3,2,1,3,3,3,2,3,3,2,2,66,1,1,1,3,6,2,1,3,1,1,1,3,2,4,2,9,9,99,9,9,5,3,24,2,218,35,3,7,2,2,1,7,25
1,218,36,3,1,30,3,11,99,1,6,1,1,4,2,3,4,1,2,1,3,5,5,2,2,1,2,2,3,3,6,3,2,1,1,1,1,1,5,1,2,2,38,2,1,3,1,0,2,6,1,2,2,1,1,2,2,1,9,9,99,9,9,6,2,6,2,218,36,3,9,2,2,1,7,45
1,218,37,3,2,32,3,2,2,1,6,1,2,3,2,2,3,5,3,2,3,4,5,2,2,1,2,2,4,2,4,3,0,3,4,4,2,4,2,3,3,3,59,1,2,1,4,2,3,1,3,3,3,1,2,2,8,0,9,9,99,9,9,6,2,22,2,218,37,3,0,2,2,1,7,35
1,218,38,3,2,32,2,2,2,2,1,1,1,2,2,3,2,6,1,2,3,4,5,2,2,1,2,1,2,4,5,3,1,2,3,1,2,3,5,2,1,2,72,1,2,2,2,5,3,1,2,2,3,2,2,2,8,0,9,9,99,9,9,6,3,25,2,218,38,3,9,2,2,1,7,38
1,218,39,3,1,34,2,2,2,1,6,1,2,2,2,2,4,5,2,2,3,3,5,2,1,1,2,1,3,2,3,4,1,1,2,2,2,2,2,2,2,1,57,2,5,1,3,6,2,4,1,2,2,2,2,2,2,1,9,9,99,9,9,7,2,22,2,218,39,3,7,2,2,1,7,2
1,218,40,3,2,16,3,11,99,2,1,1,1,2,2,1,4,5,2,1,3,5,5,2,3,1,2,2,3,2,4,4,3,4,2,2,2,2,5,2,1,3,31,1,1,1,3,6,5,6,0,1,1,3,2,2,2,1,9,9,99,9,9,6,4,8,2,218,40,3,8,2,2,1,7,18
1,218,41,3,2,20,3,11,99,2,1,1,1,4,2,1,4,3,1,1,2,10,10,1,2,1,2,2,3,3,5,3,0,3,3,3,1,2,5,5,3,2,34,1,2,1,3,6,2,6,2,3,5,2,2,1,1,5,9,9,99,9,9,3,4,5,2,218,41,3,0,2,2,1,7,16
1,218,42,3,2,24,2,2,2,2,6,1,2,3,1,3,2,3,1,1,3,3,5,2,1,1,2,1,4,2,3,3,2,3,3,2,1,1,5,1,1,3,55,1,1,1,3,6,1,1,0,3,1,2,2,2,4,3,9,9,99,9,9,5,4,16,2,218,42,3,7,2,2,1,7,48
1,218,43,3,0,23,0,2,2,0,0,1,0,1,1,1,1,0,0,1,2,2,2,2,0,1,2,2,3,0,0,2,1,3,2,2,1,1,0,2,3,3,62,1,3,2,1,1,2,1,2,2,1,1,0,0,0,0,9,9,99,9,9,1,5,23,2,218,43,3,7,2,2,1,7,36
1,218,44,3,3,15,3,2,2,2,1,1,2,2,3,1,2,3,1,2,2,3,4,1,2,3,3,2,2,3,3,4,1,3,3,3,2,3,5,2,1,2,35,1,2,1,3,6,2,4,2,3,2,2,2,2,4,4,9,9,99,9,9,6,5,8,2,218,44,3,7,2,2,1,7,24
1,218,45,3,3,16,3,1,1,1,6,1,1,4,3,3,4,5,1,1,3,3,5,1,1,1,2,1,3,3,3,3,3,1,1,2,1,1,4,1,2,2,19,1,1,1,3,6,1,1,3,1,1,1,1,1,1,5,9,9,99,9,9,8,4,8,2,218,45,3,8,2,2,1,7,13
1,218,46,3,3,16,3,2,2,2,1,1,2,2,2,2,4,4,1,1,2,3,4,1,2,3,2,2,3,3,2,3,2,3,2,2,3,1,3,1,3,3,36,1,1,1,3,6,2,1,0,2,1,1,2,2,2,1,9,9,99,9,9,5,4,8,2,218,46,3,8,2,2,1,7,20
1,218,47,3,3,18,3,1,1,2,3,1,1,4,2,1,3,6,2,1,3,3,5,2,2,1,2,2,3,3,3,3,1,3,4,4,1,2,1,3,1,2,62,2,5,1,2,5,4,1,3,1,2,1,3,2,4,2,9,9,99,9,9,4,5,8,2,218,47,3,9,2,2,1,7,10
1,218,48,3,2,27,3,1,1,2,1,5,1,2,3,1,4,3,1,1,2,2,2,1,2,1,2,1,2,2,4,3,1,2,3,1,2,3,5,2,1,2,59,1,1,2,2,5,5,4,2,1,2,1,3,2,8,0,9,9,99,9,9,6,4,21,2,218,48,3,7,2,2,1,4,13
1,218,49,3,1,21,3,11,99,1,6,5,2,3,2,2,3,7,2,1,2,5,8,1,2,1,2,2,3,2,4,3,2,2,2,2,1,2,2,1,0,2,26,1,1,2,2,5,2,4,1,2,2,2,2,2,2,2,9,9,99,9,9,6,1,5,2,218,49,3,9,2,2,1,4,7
1,218,50,3,2,23,3,1,1,3,6,5,2,2,2,1,4,6,1,3,2,3,5,1,2,1,2,2,3,3,3,3,2,3,2,2,2,2,5,2,1,1,38,1,1,1,3,6,3,1,1,2,3,2,3,2,2,1,9,9,99,9,9,6,4,16,2,218,50,3,8,2,2,1,4,14
1,218,51,3,2,13,3,11,99,1,6,5,2,4,2,3,3,4,1,1,3,3,4,2,2,1,2,1,2,2,3,3,2,2,2,3,3,2,4,5,3,2,16,1,1,3,1,5,2,1,2,2,2,2,2,1,1,5,9,9,99,9,9,4,1,5,2,218,51,3,8,2,2,1,4,3
1,218,52,3,2,24,3,1,1,2,6,5,1,4,2,1,2,3,1,1,2,2,3,1,3,2,1,2,3,3,3,1,1,4,2,2,2,2,5,2,1,2,45,1,1,1,3,6,2,4,1,1,1,2,1,2,2,1,9,9,99,9,9,5,5,18,2,218,52,3,9,2,2,1,4,23
1,218,53,3,2,24,1,2,2,2,1,5,1,4,1,3,3,3,2,1,2,2,3,2,2,3,2,2,3,3,0,3,2,1,2,2,3,5,5,5,1,3,49,2,5,1,3,6,5,1,2,2,2,1,2,1,0,0,9,9,99,9,9,5,4,10,2,218,53,3,0,2,2,1,4,12
1,218,54,3,2,24,3,11,99,1,6,5,4,4,1,1,3,4,2,1,2,3,3,2,3,1,1,1,2,3,5,2,3,1,1,5,2,2,5,3,0,3,48,1,1,0,2,5,2,4,1,3,1,1,3,0,0,0,9,9,99,9,9,3,2,19,2,218,54,3,8,2,2,1,4,10
1,218,55,3,3,18,3,11,99,2,1,5,1,4,2,3,3,5,1,1,2,3,4,1,2,1,2,2,3,3,3,3,3,1,3,3,2,2,3,2,1,1,34,1,1,1,5,3,2,1,2,1,1,2,3,3,1,5,9,9,99,9,9,6,4,3,2,218,55,3,8,2,2,1,4,22
1,218,56,3,4,23,3,1,1,2,6,5,1,4,1,2,1,3,1,1,2,2,4,2,1,1,2,2,2,4,3,3,2,1,1,1,1,1,4,1,1,2,42,1,1,1,3,6,1,4,1,1,1,1,1,1,1,5,9,9,99,9,9,6,5,18,2,218,56,3,7,2,2,1,4,8
1,218,57,3,3,20,3,11,99,2,6,5,1,3,2,2,2,3,1,1,1,2,3,1,1,1,2,1,4,3,5,3,1,2,3,3,2,2,2,3,1,3,25,2,5,1,3,6,2,4,2,2,2,2,2,2,4,2,9,9,99,9,9,5,4,3,2,218,57,3,7,2,2,1,4,6
1,218,58,3,1,31,3,11,99,1,0,5,2,3,2,1,3,4,3,1,3,2,2,2,3,1,2,1,2,2,3,3,1,2,2,2,1,3,1,3,1,2,32,2,1,1,3,6,2,3,2,2,2,2,2,2,4,2,9,9,99,9,9,4,3,3,2,218,58,3,8,2,2,2,4,3
1,218,59,3,2,31,3,1,1,1,0,5,1,4,2,2,2,3,2,1,3,3,4,2,2,1,2,1,2,2,3,3,2,2,1,2,1,2,5,1,3,3,63,1,1,1,3,6,1,5,1,2,2,1,1,1,1,5,9,9,99,9,9,5,2,27,2,218,59,3,0,2,2,2,4,14
1,218,60,3,3,32,3,11,99,1,6,5,4,1,2,3,4,6,3,3,3,4,5,2,2,1,2,2,3,2,3,3,2,2,3,3,2,2,1,4,2,1,29,2,1,2,2,5,3,1,3,2,3,2,2,2,7,2,9,9,99,9,9,7,2,3,2,218,60,3,9,2,2,2,4,12
1,218,61,3,3,53,2,1,1,2,1,5,1,4,2,1,1,3,1,1,2,3,5,1,3,1,3,1,3,3,3,4,1,2,1,1,1,1,1,1,3,2,82,1,1,1,3,6,1,4,1,1,1,1,2,2,6,4,9,9,99,9,9,5,5,31,2,218,61,3,5,2,2,2,4,2
1,218,62,3,3,40,3,11,99,1,6,5,1,2,1,3,4,6,2,1,3,5,8,2,1,1,2,2,3,3,4,3,2,1,2,2,1,1,1,5,1,2,42,1,1,1,3,6,2,5,2,1,2,2,1,2,4,1,9,9,99,9,9,6,4,3,2,218,62,3,9,2,2,2,4,4
1,218,63,3,3,50,3,1,1,1,6,5,2,2,1,1,2,3,2,1,2,3,4,2,3,1,2,2,3,2,2,3,1,2,2,2,1,2,1,1,2,1,83,1,1,1,3,6,2,4,1,2,3,2,2,2,6,3,9,9,99,9,9,6,3,30,2,218,63,3,5,2,2,2,4,0
1,218,64,3,4,38,3,2,2,1,6,5,1,4,2,3,4,6,1,1,2,3,5,2,2,1,2,2,3,3,3,3,2,1,2,2,1,2,2,2,1,2,69,1,1,1,3,6,2,5,0,1,1,1,2,2,4,3,9,9,99,9,9,6,2,31,2,218,64,3,5,2,2,2,4,8
1,218,65,3,4,53,3,1,1,1,6,5,2,4,1,1,1,2,1,1,2,3,4,2,2,1,2,2,3,2,3,3,1,2,2,2,1,2,2,1,1,2,83,1,1,1,3,6,2,5,1,1,2,2,3,2,0,3,9,9,99,9,9,7,4,30,2,218,65,3,6,2,2,2,4,6
1,218,66,3,1,84,3,11,99,2,1,5,2,3,3,2,5,3,1,2,1,2,2,1,3,1,2,1,3,3,3,3,1,3,2,2,3,3,1,1,3,3,99,1,3,2,0,2,2,6,0,3,3,2,2,2,2,3,9,9,99,9,9,4,3,4,2,218,66,3,7,2,2,2,4,7
1,218,67,3,2,40,3,1,1,1,6,5,1,4,1,3,3,4,1,1,2,3,3,2,1,1,2,1,4,3,4,3,2,3,1,2,1,1,1,1,2,2,74,2,5,1,3,6,1,5,1,2,1,1,1,2,3,1,9,9,99,9,9,1,4,30,2,218,67,3,5,2,2,2,4,17
1,218,68,3,2,57,3,1,1,1,0,5,1,4,2,1,2,3,3,1,3,4,5,1,1,1,2,2,2,3,3,3,1,2,1,2,1,1,5,1,2,2,82,1,2,2,0,0,2,5,1,2,1,1,1,2,2,1,9,9,99,9,9,3,2,24,2,218,68,3,5,2,2,2,4,16
1,218,69,3,2,51,0,11,99,2,1,5,1,4,1,1,2,3,1,3,3,3,3,1,3,3,2,2,3,3,4,3,2,3,5,1,3,5,0,5,1,2,70,1,1,1,3,6,1,5,2,3,0,1,1,2,8,0,9,9,99,9,9,5,3,4,2,218,69,3,7,2,2,2,4,10
1,218,70,3,3,24,3,2,2,1,6,5,2,1,2,3,4,5,2,1,2,3,3,2,1,1,2,1,3,4,4,3,2,3,1,2,1,1,4,1,2,2,50,1,1,1,3,6,1,1,1,1,1,1,2,1,1,5,9,9,99,9,9,5,2,20,2,218,70,3,8,2,2,2,4,13
1,218,71,3,3,32,3,11,99,2,2,5,1,4,2,2,0,4,2,1,3,2,4,1,2,1,2,1,3,3,3,4,2,3,2,2,2,2,5,2,1,3,76,1,2,1,3,6,5,1,2,3,5,2,1,2,2,1,9,9,99,9,9,4,4,20,2,218,71,3,7,2,2,3,4,0
1,218,72,3,3,35,3,11,99,1,6,5,1,4,2,3,3,4,2,1,2,2,4,1,2,1,2,2,3,3,3,3,2,2,2,2,1,2,4,1,2,1,50,2,1,1,3,6,2,5,2,2,3,1,2,1,1,5,9,9,99,9,9,5,2,19,2,218,72,3,7,2,2,3,4,2
1,218,73,3,4,36,3,11,99,3,6,5,1,4,1,3,3,4,2,1,2,3,4,1,1,1,2,2,2,3,3,3,2,1,1,1,1,1,4,1,2,2,58,1,1,2,3,6,1,5,1,3,1,1,1,1,1,5,9,9,99,9,9,4,5,19,2,218,73,3,7,2,2,3,4,3
1,218,74,3,3,44,3,11,99,1,6,5,2,3,1,3,4,4,2,1,2,3,4,1,2,1,2,2,3,3,3,4,2,2,3,5,1,2,2,5,3,2,60,1,1,1,3,6,2,5,2,2,2,2,1,1,1,5,9,9,99,9,9,3,4,18,2,218,74,3,7,2,2,3,4,6
1,218,75,3,4,48,3,11,99,1,6,5,1,4,1,1,3,5,2,1,2,3,4,2,2,1,2,2,3,2,4,3,1,2,3,2,1,3,1,3,2,1,66,1,1,1,3,6,2,1,2,2,2,1,1,1,1,5,9,9,99,9,9,6,3,19,2,218,75,3,8,2,2,3,4,7
1,218,76,3,4,41,3,11,99,1,6,5,2,4,1,3,3,5,2,1,3,3,4,2,1,1,2,2,3,3,3,3,2,1,2,2,1,1,2,1,2,2,57,1,1,2,2,5,1,5,1,2,2,1,1,1,1,5,9,9,99,9,9,6,3,19,2,218,76,3,9,2,2,3,4,4
1,218,77,3,4,38,3,11,99,1,6,5,1,4,2,3,3,5,1,1,3,3,7,1,1,1,2,2,2,2,2,1,2,4,1,1,1,2,4,1,0,2,54,1,1,1,3,6,1,5,1,2,1,1,1,1,1,5,9,9,99,9,9,7,4,19,2,218,77,3,8,2,2,3,4,10
1,218,78,3,4,42,3,11,99,1,6,5,1,4,1,3,3,4,3,1,3,3,4,2,1,1,2,2,2,2,3,4,3,2,2,5,1,2,4,1,2,1,58,1,1,2,2,5,2,2,3,3,2,1,1,1,1,5,9,9,99,9,9,7,3,18,2,218,78,3,7,2,2,3,4,8
1,218,79,3,3,36,3,2,2,1,6,7,2,2,2,1,3,5,2,3,2,3,4,1,2,1,2,2,2,2,3,3,1,3,2,3,1,1,2,1,1,2,68,1,2,1,3,6,5,1,2,2,3,2,2,2,2,1,9,9,99,9,9,6,2,27,2,218,79,3,7,2,2,1,5,0
1,218,80,3,4,33,3,2,2,1,6,7,1,4,1,3,3,5,2,1,3,2,4,1,2,1,2,0,0,0,4,3,2,2,3,0,1,4,1,3,3,1,65,1,1,1,3,6,2,0,3,1,2,1,2,1,1,5,9,9,99,9,9,6,3,27,2,218,80,3,0,2,2,1,5,6
1,218,81,3,4,34,3,2,2,1,6,7,1,4,1,2,3,4,2,1,2,3,3,2,2,1,2,2,3,2,3,3,2,3,2,3,1,2,4,2,1,1,69,1,1,1,3,6,2,1,2,2,2,2,1,2,4,2,9,9,99,9,9,6,5,29,2,218,81,3,0,2,2,1,5,3
1,218,82,3,4,28,2,2,2,2,6,7,1,4,2,3,2,0,2,1,3,2,3,1,2,1,2,1,4,2,3,4,2,1,3,4,1,2,5,5,2,2,56,1,1,1,3,6,2,1,3,2,3,2,3,2,8,0,9,9,99,9,9,7,2,22,2,218,82,3,6,2,2,1,5,4
