S101E.CARD.,S101E.DECK.,S101E.BALLOT.,S101E.FORM.,S101E.Q1.,S101E.Q2.,S101E.Q3.,S101E.Q4.,S101E.Q5.,S101E.Q5..1,S101E.Q6B.,S101E.Q7.,S101E.Q8.,S101E.Q9A.,S101E.Q9B.,S101E.Q9C.,S101E.Q9D.,S101E.Q11.,S101E.Q12.,S101E.Q13.,S101E.Q14.,S101E.Q15.,S101E.Q16.,S101E.Q17.,S101E.Q18.,S101E.Q19.,S101E.Q20.,S101E.Q21A.,S101E.Q21B.,S101E.Q22.,S101E.Q23.,S101E.Q24.,S101E.Q25.,S101E.Q26A.,S101E.Q26B.,S101E.Q27.,S101E.Q28.,S101E.Q29.,S101E.Q30A.,S101E.Q30B.,S101E.Q30C.,S101E.Q30D.,S101E.Q31A.,S101E.Q31B.,S101E.Q31C.,S101E.Q31D.,S101E.Q31E.,S101E.Q31F.,S101E.Q31G.,S101E.Q31H.,S101E.Q31I.,S101E.Q31J.,S101E.Q31K.,S101E.Q31L.,S101E.Q31M.,S101E.Q31N.,S101E.Q31O.,S101E.Q31P.,S101E.Q31Q.,S101E.Q31R.,S101E.Q31S.,S101E.Q31T.,S101E.Q32.,S101E.Q33.,S101E.Q34.,S101E.Q35A.,S101E.Q35B.,S101E.Q36A.,S101E.Q36B.,S101E.Q36C.,S101E.CARD..1,S101E.DECK..1,S101E.BALLOT..1,S101E.FORM..1,S101E.Q36D.,S101E.Q36E.,S101E.Q36F.,S101E.Q36G.,S101E.Q36H.,S101E.Q36I.,S101E.Q37A.,S101E.Q37B.,S101E.Q38.,S101E.Q39.,S101E.Q40A.,S101E.Q40B.,S101E.Q42.,S101E.Q43A.,S101E.Q43B.,S101E.Q43C.,S101E.Q43D.,S101E.Q43E.,S101E.Q43F.,S101E.Q43G.,S101E.Q43H.,S101E.Q43I.,S101E.Q43J.,S101E.Q44.,S101E.Q47A.,S101E.Q47B.,S101E.Q47C.,S101E.Q47D.,S101E.Q47E.,S101E.Q49.,S101E.Q50A.,S101E.Q50B.,S101E.Q50C.,S101E.Q50D.,S101E.Q51A.,S101E.Q51B.,S101E.Q53A.,S101E.Q53B.,S101E.Q54A.,S101E.Q54B.,S101E.Q54C.,S101E.Q54D.,S101E.Q54E.,S101E.Q55A.,S101E.Q55B.,S101E.Q56.,S101E.Q57.,S101E.Q58.,S101E.Q58..1,S101E.Q58..2,S101E.Q58..3,S101E.Q58..4,S101E.Q58..5,S101E.Q58..6,S101E.Q58..7,S101E.Q58..8,S101E.Q58..9,S101E.Q58..10,S101E.Q58..11,S101E.Q58..12,S101E.Q59.,S101E.Q60A.,S101E.Q60B.,S101E.Q61A.,S101E.Q61A..1,S101E.Q61B.
1,101,1,4,2,2,1,3,1,4,30,4,11,0,3,1,1,1,2,1,2,1,2,0,1,1,0,1,1,4,3,2,1,1,1,0,1,0,1,2,1,1,4,1,4,1,4,1,4,4,4,4,4,0,0,0,0,4,1,2,1,4,4,2,3,3,0,1,1,1,2,101,1,4,1,1,1,1,0,2,1,3,1,1,1,1,2,1,1,0,0,0,4,4,4,4,0,1,5,5,1,1,1,4,1,1,1,1,3,1,1,2,0,0,0,0,0,1,3,4,4,2,2,2,2,1,2,2,2,2,2,1,2,2,0,6,3,4,3,5
1,101,2,4,3,2,1,4,0,0,35,4,4,1,2,1,1,3,2,1,1,1,2,3,1,1,8,1,2,4,1,1,1,1,0,5,1,1,2,2,2,2,4,1,4,1,4,1,4,4,1,4,4,4,1,4,4,1,1,1,4,1,3,1,3,3,3,1,2,1,2,101,2,4,1,1,1,2,1,1,1,3,1,1,3,1,2,2,4,3,4,4,4,4,4,4,3,1,1,1,1,1,1,3,1,3,1,3,2,1,1,1,20,60,20,0,0,1,3,2,3,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,3,3,5,1
1,101,3,4,3,2,2,3,5,1,83,4,7,1,3,1,1,3,2,2,2,1,2,2,3,1,8,1,1,4,3,1,2,2,2,0,2,2,2,2,4,1,2,3,2,3,4,2,1,1,2,2,3,2,2,4,2,2,1,3,3,1,3,3,4,3,3,1,1,3,2,101,3,4,3,1,1,2,1,2,2,1,3,1,1,3,3,1,1,4,4,3,4,2,4,4,4,3,5,1,1,1,5,2,2,4,2,3,1,1,1,2,0,5,90,5,0,1,1,3,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,3,4,3
1,101,4,4,2,5,1,4,6,3,1,4,9,1,2,1,1,3,3,1,1,2,2,2,1,1,8,1,2,4,3,2,1,2,2,3,1,1,1,2,2,2,1,4,4,4,1,4,4,1,4,2,4,4,4,4,4,4,4,2,4,4,4,1,1,3,3,1,1,3,2,101,4,4,1,1,1,3,3,1,2,4,1,2,2,2,1,1,2,4,0,3,4,2,4,4,3,3,2,2,1,3,5,2,3,3,2,3,1,1,2,1,2,50,48,0,0,2,1,3,3,2,2,2,2,1,2,2,1,2,2,2,2,2,2,3,3,4,3,1
1,101,5,4,1,5,3,4,2,2,31,4,4,1,2,1,1,2,1,1,2,2,2,2,3,2,8,1,2,1,3,2,2,1,1,4,3,5,3,3,3,3,4,2,4,3,1,1,2,4,4,1,1,1,2,1,4,1,1,1,4,2,4,1,1,3,3,1,1,2,2,101,5,4,2,1,1,2,3,2,2,3,2,1,1,1,2,1,1,2,4,4,4,2,4,4,4,1,2,2,2,3,1,2,1,2,1,2,2,1,1,2,10,20,60,10,0,2,3,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,3,2,2,4,3,4
1,101,6,4,2,3,1,4,9,3,58,4,4,1,2,1,1,1,2,1,1,2,2,4,3,3,1,1,2,1,3,2,2,2,2,1,3,2,4,3,0,3,2,1,1,3,1,1,1,3,4,1,2,1,2,1,1,2,1,1,1,2,2,1,1,3,2,1,1,2,2,101,6,4,3,0,1,1,3,2,2,1,1,1,3,2,3,1,2,4,4,3,4,4,4,4,3,3,4,1,4,1,2,2,1,4,1,3,1,2,1,1,0,10,50,10,30,2,1,3,3,2,2,2,2,2,2,2,2,1,2,2,1,2,4,3,3,4,0,4
1,101,7,4,2,5,2,4,9,3,52,4,9,1,2,1,1,1,2,2,1,1,2,2,1,1,8,1,2,2,3,2,1,2,2,6,2,2,1,2,2,2,2,4,4,3,4,4,2,3,2,2,4,2,3,2,3,3,3,2,4,2,3,2,1,3,3,1,1,1,2,101,7,4,1,1,1,1,1,1,1,1,1,1,3,1,1,2,4,4,3,1,4,4,4,4,4,1,1,1,2,1,1,2,1,3,1,3,1,2,1,2,3,25,70,2,0,1,3,2,3,2,2,2,2,2,2,1,2,1,2,2,2,2,2,3,3,5,2,3
1,101,8,4,1,1,3,4,2,3,30,4,4,1,2,1,1,3,4,2,1,2,2,2,2,3,8,1,2,2,3,2,2,1,1,4,1,1,2,2,2,2,4,3,2,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,3,1,1,3,3,1,1,2,2,101,8,4,2,1,1,2,3,2,1,3,2,1,3,2,4,2,4,4,4,4,4,4,4,4,4,1,2,1,1,1,5,2,2,2,2,2,2,1,1,1,10,20,50,10,10,2,1,3,3,2,2,2,2,1,2,1,2,2,2,2,2,2,4,2,2,3,4,4
1,101,9,4,2,2,1,3,6,3,15,4,4,1,2,1,2,3,4,1,1,1,2,2,3,2,1,1,2,2,3,1,1,1,1,3,1,1,1,2,1,1,4,2,1,3,1,2,1,1,2,1,4,3,2,1,1,4,1,3,2,3,3,3,3,3,3,1,1,3,2,101,9,4,3,1,1,2,3,2,1,1,2,2,2,2,1,2,1,4,3,2,4,4,3,4,4,1,3,1,5,1,1,2,2,2,1,2,2,1,1,2,1,25,73,1,0,2,1,3,3,2,2,2,2,2,2,2,2,1,1,2,2,2,0,3,5,4,3,1
1,101,10,4,2,2,1,4,9,3,3,4,9,1,2,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,3,1,1,2,2,4,2,2,1,2,1,1,4,1,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,3,3,3,1,1,1,2,101,10,4,1,1,1,0,0,0,2,4,1,1,1,1,1,4,3,4,4,4,4,4,4,4,3,1,1,1,1,2,1,2,1,3,1,3,1,1,1,2,0,60,35,5,0,2,4,3,3,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,6,4,3,4
1,101,11,4,2,2,3,3,9,3,15,4,4,1,2,1,1,2,1,2,2,1,2,3,1,1,1,1,2,2,3,2,1,1,1,2,2,2,1,2,2,2,4,1,4,2,4,1,4,4,4,4,4,2,1,4,4,4,1,1,2,1,4,1,4,3,3,1,1,1,2,101,11,4,1,1,1,1,1,2,2,1,2,2,1,1,1,1,2,4,3,2,4,4,4,4,4,1,1,1,1,2,1,2,1,2,1,2,1,1,1,2,5,20,70,5,0,2,1,3,3,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,3,4,3,2
1,101,12,4,1,2,2,4,9,3,45,4,4,1,2,1,1,1,2,1,1,2,1,1,3,3,8,3,2,2,2,1,1,2,0,2,1,2,1,2,1,1,2,1,2,2,2,1,1,1,3,2,1,2,3,1,1,2,2,3,2,2,4,1,1,2,1,1,1,2,2,101,12,4,1,1,1,2,3,2,1,1,2,1,1,1,1,2,4,4,4,4,4,4,4,4,4,1,1,1,1,4,1,3,2,2,2,2,1,3,1,1,10,20,60,5,5,1,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,5,4,2
1,101,13,4,1,5,3,4,8,3,15,4,4,1,2,1,1,3,1,1,1,1,2,3,1,1,4,1,2,2,2,1,1,2,2,3,2,5,1,2,1,1,4,2,4,2,4,3,3,4,4,1,4,2,1,4,4,4,4,3,2,2,4,1,3,3,3,1,1,1,2,101,13,4,3,1,1,2,3,2,2,1,1,1,0,0,1,4,1,4,4,4,4,4,4,4,2,1,5,5,5,5,1,3,1,3,2,2,1,1,1,2,10,50,30,5,5,2,1,3,3,2,2,2,2,2,2,2,2,2,1,2,2,1,1,5,0,4,3,1
1,101,14,4,1,1,1,4,2,3,20,4,4,1,2,3,1,3,3,1,1,1,2,3,1,2,8,1,3,4,2,1,1,2,2,0,1,1,1,2,1,1,4,1,4,1,4,4,4,4,4,4,4,4,4,1,4,4,4,1,4,4,4,1,4,3,3,1,1,1,2,101,14,4,1,1,1,1,3,1,1,1,1,1,1,1,4,2,2,4,4,4,4,4,4,4,4,3,1,1,2,1,1,3,1,2,1,2,2,1,2,2,0,50,45,5,0,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,0,4,2,4,5
1,101,15,4,2,5,1,4,9,3,42,4,9,1,3,3,2,1,1,2,2,1,3,2,3,2,8,1,1,4,3,1,1,2,2,6,2,5,3,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2,3,4,3,3,1,1,2,2,101,15,4,2,1,1,2,3,2,1,3,2,1,1,1,1,2,2,4,4,3,4,3,4,4,2,1,1,1,2,3,1,2,1,3,1,3,2,2,1,2,1,3,75,17,4,2,3,3,3,2,2,2,2,1,2,2,2,2,2,1,2,2,2,3,3,4,3,5
1,101,16,4,2,2,2,3,2,4,45,4,9,1,2,3,3,1,1,2,1,1,2,3,3,3,8,1,1,4,3,2,2,1,1,3,2,3,1,2,1,1,4,2,4,3,4,4,4,4,4,1,4,4,1,4,2,4,4,2,2,1,1,1,1,3,2,1,1,2,2,101,16,4,3,1,1,3,3,2,1,3,2,1,2,2,2,1,4,4,4,1,4,3,4,4,2,3,1,1,5,1,1,2,2,4,1,4,2,1,1,2,0,10,80,10,0,1,1,1,3,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,3,4,4
1,101,17,4,3,1,1,4,10,2,83,4,9,1,3,3,3,3,3,2,2,1,1,2,2,3,1,1,2,4,3,2,2,2,2,3,2,3,2,2,1,1,4,1,3,3,1,3,1,3,3,1,1,3,3,3,1,3,3,2,1,1,2,1,4,3,3,1,1,1,2,101,17,4,3,1,1,1,3,2,1,3,2,2,3,1,1,2,1,3,2,4,4,4,4,4,4,1,1,1,1,1,1,3,2,3,2,3,2,3,2,2,0,0,97,0,0,1,3,2,3,2,2,1,2,2,2,2,2,2,1,2,2,2,4,1,1,4,3,1
1,101,18,4,2,5,2,4,9,3,20,4,9,1,1,3,1,3,1,2,1,2,3,2,2,2,8,1,3,4,3,2,2,1,1,0,2,2,2,2,1,2,2,4,4,1,4,2,4,4,4,4,4,4,1,4,4,4,1,4,4,1,3,1,1,3,2,1,1,1,2,101,18,4,1,1,1,1,3,3,2,4,1,1,1,1,2,1,2,4,4,0,2,3,4,4,4,1,3,1,2,1,1,2,1,2,1,3,2,1,1,2,0,5,90,5,0,2,1,3,3,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,4,3,5
1,101,19,4,2,2,3,4,2,2,29,4,9,1,1,3,1,3,2,2,1,1,2,3,1,3,8,1,2,4,3,1,2,1,1,2,2,0,1,1,1,1,4,3,4,3,4,2,2,4,2,3,3,3,3,2,2,3,3,3,3,4,4,1,3,3,2,1,1,1,2,101,19,4,1,1,1,1,1,1,1,1,2,1,3,1,1,2,4,4,4,3,4,4,4,4,4,1,1,1,1,1,5,2,1,1,1,3,1,1,1,2,0,5,80,5,10,1,1,3,3,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,3,0,4
1,101,20,4,3,1,3,3,10,1,83,4,9,1,3,3,1,3,0,1,1,1,2,2,3,2,8,1,1,4,3,1,2,1,1,2,1,1,2,2,2,2,2,2,2,3,1,1,1,1,2,1,1,1,2,1,2,3,2,2,1,1,4,3,2,3,2,1,1,2,2,101,20,4,1,1,1,2,3,2,1,1,2,1,1,1,4,2,4,4,4,2,4,4,4,4,4,1,1,1,1,2,1,3,1,3,1,4,2,1,2,2,0,0,95,5,0,1,1,3,3,2,2,2,2,1,2,2,2,2,1,2,2,2,1,1,6,4,2,4
1,101,21,4,3,2,1,4,8,1,40,4,7,1,2,3,1,3,4,2,2,2,2,2,3,1,8,2,2,4,3,2,1,2,2,2,2,5,2,2,4,3,3,3,3,3,1,4,1,1,1,2,4,4,3,1,1,3,3,3,1,1,4,3,4,3,3,1,1,1,2,101,21,4,1,1,1,2,3,3,1,1,2,1,1,1,2,2,1,4,4,4,4,4,4,4,2,3,1,1,5,5,1,3,1,3,1,3,1,1,2,2,0,1,99,0,0,1,2,3,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,6,4,3,1
1,101,22,4,3,5,3,3,8,3,28,4,4,1,2,3,1,3,4,1,1,1,3,2,3,1,8,1,2,4,2,2,2,1,1,1,2,3,2,2,1,1,4,2,1,2,4,4,4,4,4,4,4,4,4,1,1,4,1,2,1,4,4,3,2,3,2,1,1,3,2,101,22,4,1,1,1,2,1,3,1,4,1,2,1,1,2,2,4,4,4,3,4,2,4,4,4,1,2,1,3,5,2,2,2,3,2,3,3,3,1,2,0,75,15,10,0,2,3,3,3,2,2,2,2,1,2,2,2,2,2,2,1,2,3,6,3,4,3,3
1,101,23,4,1,2,1,4,4,3,42,4,4,1,3,3,3,1,3,2,2,2,2,2,3,1,8,2,2,4,8,1,1,2,1,3,1,0,1,1,1,1,4,2,4,2,4,4,2,2,4,4,4,2,2,4,4,4,0,2,1,2,4,3,4,3,3,1,1,1,2,101,23,4,1,1,1,3,3,2,2,1,2,2,1,1,2,2,4,0,4,4,4,4,4,4,4,1,1,1,1,2,1,1,2,3,2,3,3,1,1,2,10,60,30,0,0,2,1,3,3,2,2,2,2,1,2,1,2,2,2,2,2,2,2,6,6,4,3,4
1,101,24,4,2,3,1,3,9,3,83,4,4,1,2,3,1,1,1,2,1,2,2,2,2,1,8,2,2,4,3,2,2,1,1,0,3,2,2,2,2,2,4,1,1,3,4,1,1,1,4,2,4,4,1,2,4,4,4,2,2,4,4,1,1,3,2,1,1,3,2,101,24,4,1,1,1,2,3,3,1,1,1,1,1,1,1,1,2,4,4,2,0,2,4,4,1,1,1,1,1,3,1,2,1,4,1,2,1,1,1,2,33,33,34,0,0,2,1,3,3,2,2,2,2,1,2,2,2,1,2,2,2,2,2,3,3,2,3,4
1,101,25,4,2,5,1,4,9,3,27,4,9,1,1,3,1,1,3,2,1,1,3,2,1,1,8,1,2,1,3,2,2,1,1,0,1,1,1,2,1,2,1,2,1,3,2,4,4,1,1,4,1,4,4,4,4,4,1,2,1,4,3,1,1,3,2,1,1,3,2,101,25,4,1,1,1,2,3,3,1,1,2,1,1,1,2,2,2,2,2,2,4,1,4,2,4,1,1,1,2,3,1,4,2,3,3,3,1,1,1,2,10,20,40,15,15,2,3,2,3,2,2,2,2,1,1,2,2,2,2,2,2,2,1,6,2,3,4,2
1,101,26,4,2,3,1,4,9,3,31,4,9,1,3,3,1,1,1,1,2,3,3,2,3,3,1,1,2,1,3,1,2,2,2,3,4,2,2,3,2,2,3,4,4,2,4,2,2,4,4,2,4,4,2,2,4,2,0,3,4,2,2,3,1,3,3,1,1,3,2,101,26,4,3,1,1,2,3,2,2,3,2,1,3,1,4,2,2,4,4,2,4,3,4,4,4,1,5,2,5,3,5,3,1,3,2,3,2,3,1,1,0,10,85,5,0,2,1,2,4,2,2,2,2,1,2,2,1,2,2,2,2,2,2,6,6,3,4,3
1,101,27,4,2,2,2,4,9,3,1,4,9,1,2,3,2,1,2,1,1,2,2,2,2,2,5,1,2,1,2,1,1,2,2,2,2,2,1,2,1,1,1,1,2,4,2,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,3,1,1,3,3,1,1,1,2,101,27,4,1,1,1,3,3,1,2,1,1,2,2,2,3,2,4,4,4,2,4,3,4,4,1,1,2,1,3,3,3,2,1,3,2,3,1,1,1,2,3,20,60,15,2,2,3,3,3,2,2,2,2,1,2,2,2,2,2,2,2,2,3,5,3,4,3,4
1,101,28,4,2,3,2,4,9,3,84,4,3,1,1,3,1,1,3,2,1,1,3,3,1,2,8,2,2,1,8,2,2,2,1,5,3,3,2,2,2,2,4,1,1,3,3,4,1,4,4,4,4,1,1,4,4,4,1,1,3,4,3,3,4,3,2,1,1,1,2,101,28,4,1,1,1,3,3,3,1,1,2,1,3,3,3,2,2,3,2,1,2,2,3,1,2,3,1,2,1,3,2,2,2,4,2,3,3,1,2,2,5,10,65,15,5,1,3,3,3,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,5,3,5
1,101,29,4,1,2,2,3,7,3,84,4,4,1,2,3,1,1,3,2,2,1,2,3,1,1,8,1,3,1,3,2,1,1,1,5,2,2,2,2,2,1,4,1,1,3,4,4,1,4,4,4,4,1,1,1,1,1,1,1,1,1,4,3,4,3,3,1,1,1,2,101,29,4,1,1,1,1,1,1,1,1,1,2,1,1,3,2,4,4,4,4,4,3,4,4,4,1,1,1,1,1,2,2,1,3,1,3,1,2,1,1,0,5,90,5,0,2,1,3,3,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,5,3,1
1,101,30,4,2,2,2,4,8,3,27,4,4,1,2,3,2,2,2,1,1,1,2,2,1,1,8,1,2,3,9,1,1,2,2,2,2,5,2,2,1,1,4,4,4,4,1,4,4,4,4,4,4,4,1,1,4,4,4,4,4,4,4,1,3,3,3,1,1,1,2,101,30,4,1,1,1,3,3,1,1,1,1,2,1,1,3,4,4,4,0,3,4,4,4,4,4,3,1,5,1,2,5,4,1,2,1,3,1,1,1,1,5,20,15,0,60,1,1,2,3,2,2,2,2,1,2,2,2,2,2,2,2,1,2,6,3,6,6,1
1,101,31,4,3,5,1,4,3,4,20,4,9,1,1,3,2,3,4,2,2,1,1,2,3,3,0,1,2,2,3,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,2,1,3,2,3,1,1,2,101,31,4,1,1,1,2,3,1,1,1,2,1,1,1,3,4,4,4,4,4,4,4,4,4,4,3,1,1,1,5,1,3,1,2,2,2,2,1,1,2,1,20,75,4,0,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,3,3,6,6,4
1,101,32,4,1,2,3,4,9,3,30,4,4,1,2,3,2,3,1,2,2,1,2,3,3,1,4,2,3,2,2,2,2,2,1,1,1,1,2,2,2,2,4,2,4,3,4,1,1,4,4,4,4,4,1,4,4,4,4,4,4,4,3,1,4,3,3,1,1,1,2,101,32,4,1,1,1,1,3,2,1,1,1,2,1,1,3,4,4,0,4,4,4,3,4,4,4,3,3,1,1,1,1,1,1,3,1,3,1,1,1,1,0,90,5,5,0,2,1,2,3,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,1,4,3,2
1,101,33,4,2,2,1,2,9,4,4,4,4,1,2,3,1,1,2,1,2,2,2,2,3,3,1,2,2,2,3,1,2,2,2,0,1,1,3,2,3,3,1,2,4,2,2,4,2,1,4,2,4,1,2,2,4,4,4,2,4,3,1,1,2,3,3,1,1,2,2,101,33,4,1,1,1,2,3,3,1,2,2,1,2,2,2,2,4,3,3,4,4,3,4,4,4,2,5,1,5,5,5,3,1,1,2,1,2,2,1,1,0,0,98,2,0,1,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,4,6,2,4,0,4
1,101,34,4,3,2,3,4,2,2,40,4,4,1,1,3,1,3,4,2,2,1,2,2,3,1,8,1,2,2,2,3,1,1,1,2,2,5,1,1,1,2,1,2,4,2,4,1,1,4,4,4,1,4,1,4,4,1,1,3,1,1,2,3,4,3,2,1,1,1,2,101,34,4,3,1,1,3,3,2,1,3,1,1,3,1,2,4,4,4,4,2,4,2,4,4,4,3,1,1,3,1,1,2,2,3,2,3,2,1,1,2,0,0,97,0,0,2,3,3,3,2,2,2,2,1,2,2,2,2,2,2,2,1,3,3,3,5,3,5
1,101,35,4,2,3,1,4,9,3,58,4,9,1,2,3,1,1,2,1,2,1,2,2,2,1,2,1,2,2,3,1,1,2,2,3,2,3,2,2,2,1,4,1,4,2,4,1,4,4,4,4,1,1,2,1,1,1,1,2,4,4,2,3,2,3,3,1,1,3,2,101,35,4,3,1,1,1,3,1,1,1,2,4,1,1,1,2,2,4,4,2,4,4,4,4,2,1,1,1,2,1,1,3,1,2,1,2,1,1,1,2,0,35,50,10,5,2,1,2,3,2,2,2,2,1,2,2,2,2,2,2,2,1,2,6,3,4,3,3
1,101,36,4,2,2,3,3,4,4,40,4,9,1,1,3,1,1,3,1,1,2,3,2,3,2,8,1,1,2,3,1,1,2,2,3,2,2,1,2,2,2,2,1,2,3,4,1,2,1,2,2,2,2,2,1,1,2,1,2,3,1,2,1,2,3,3,1,1,2,2,101,36,4,2,1,1,2,3,2,1,3,2,1,1,1,2,2,2,3,2,4,4,4,4,4,3,1,2,2,5,2,1,3,2,2,2,2,2,2,1,2,0,10,80,10,0,1,3,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,3,4,3,5
1,101,37,4,2,2,1,4,9,3,42,4,9,1,1,3,3,3,1,2,1,2,2,2,3,1,1,1,1,2,3,2,2,1,2,3,2,2,1,2,1,1,1,3,2,3,1,1,1,1,1,1,2,2,1,2,1,1,2,2,2,2,2,1,1,3,3,1,1,1,2,101,37,4,1,1,1,2,2,1,2,1,1,2,2,1,1,2,1,3,2,3,4,4,4,4,4,1,1,1,3,1,2,2,2,3,2,3,1,1,1,2,0,20,70,10,0,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,3,2,2,4,3,2
1,101,38,4,3,2,1,4,9,1,22,4,4,1,3,3,1,3,4,1,2,2,2,2,1,2,8,1,2,2,2,2,1,2,1,3,3,5,1,2,2,2,4,2,4,2,4,1,1,4,4,1,4,1,4,1,1,1,4,2,1,4,3,3,4,3,3,1,1,3,2,101,38,4,3,1,1,1,3,3,1,1,1,4,1,1,2,2,4,4,4,2,4,4,4,4,4,1,1,1,1,2,1,2,1,2,1,2,1,1,2,2,10,15,25,15,35,2,1,3,3,2,2,2,2,2,2,2,2,2,1,2,1,2,2,3,6,4,3,5
1,101,39,4,3,2,1,3,2,2,40,4,9,1,2,3,1,3,4,1,2,2,2,2,1,1,8,1,2,2,2,1,1,2,1,4,1,1,1,2,1,1,1,1,4,2,1,4,1,4,1,1,1,1,2,1,1,2,4,2,1,2,3,2,4,3,2,1,1,3,2,101,39,4,3,1,1,3,3,3,1,3,1,1,1,1,1,1,2,4,4,2,4,4,4,4,4,1,1,1,1,1,3,2,1,2,1,2,1,1,1,2,5,70,15,5,5,1,1,3,3,2,2,2,2,2,2,2,2,2,1,2,1,2,1,4,3,4,3,3
1,101,40,4,2,5,2,4,6,3,15,4,4,1,2,3,1,2,2,1,2,1,2,3,2,1,1,1,1,2,2,1,1,1,1,2,2,3,1,2,1,1,2,2,4,2,4,4,1,4,2,1,1,1,1,4,4,1,4,2,1,4,4,2,3,3,3,1,1,1,2,101,40,4,1,1,1,2,3,3,1,1,1,1,1,1,3,2,4,4,4,3,4,3,4,4,2,3,5,1,5,5,1,3,1,2,1,3,1,1,1,1,5,45,45,3,2,2,1,3,3,2,2,2,2,2,1,2,2,2,2,2,2,1,3,5,6,4,3,3
